GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_noDrug	Rv0827c_DMSO_noDrug
MT3270.1	MT3270.1	hypothetical protein	hypoxia_late:22%; ctl_stationary:12%	-0.2627	0.62754968416554	652.2	689	488	718	766	619	32.8	39.94
MT1497.2	MT1497.2	hypothetical protein	ctl_stationary:16%; hypoxia_late:16%	-0.3649	0.785052337035925	675.36	778	405	666	714	864	22.28	29.36
cycA	Rv1704c	D-serine/alanine/glycine transporter protein CycA	tyloxopol:11%	-0.1679	0.143936972900561	619.85	645	792	629	705	373	139.55	159
cysD	Rv1285	sulfate adenylyltransferase subunit 2	hypoxia_fatty_acids:28%; nutrient_limitation:16%; acidic_tyloxopol:12%	-0.2044	0.352787243054289	636.88	604	672	719	684	516	39.41	46.07
Rv3224	Rv3224	iron-regulated short-chain dehydrogenase/reductase	ctl_exponential:10%	-0.1848	0.224061266213124	628.63	635	712	713	760	369	457.83	528.05
rpmB1	Rv0105c	50S ribosomal protein L28	hypoxia_late:44%; ctl_stationary:14%	-0.6059	0.834396424018265	707.21	905	331	1089	464	909	1.5	3.31
Rv0863	Rv0863	hypothetical protein	INDIGO_exponential:8%	-0.1744	0.205423517043001	609.02	591	681	527	773	494	507.86	582.71
Rv1928c	Rv1928c	short-chain type dehydrogenase/reductase	ctl_stationary:14%; PBS_RIF_DDmtb:13%; hypoxia_late:11%	-0.2062	0.360622346852723	633.17	484	647	571	846	645	36.71	43.09
Rv3046c	Rv3046c	hypothetical protein	butyrate_plus_glucose:12%	-0.1755	0.2027165230673	613.9	581	710	569	748	481	331.24	380.02
Rv3030	Rv3030	S-adenosylmethionine-dependent methyltransferase	tyloxopol:10%; hypoxia_late:10%	-0.1807	0.22031714545288	617.22	552	688	587	780	499	133.98	154.55
Rv3677c	Rv3677c	beta lactamase	INDIGO_exponential:9%	-0.1751	0.17151280521345	619.26	590	736	704	732	377	260.47	298.14
Rv3402c	Rv3402c	hypothetical protein	low_iron:42%; hypoxia_hypoxic:10%	-0.1987	0.360383061765866	614.68	505	614	476	845	667	22.7	26.6
sugA	Rv1236	sugar ABC transporter permease SugA	PBS_RIF_DDmtb:13%; hypoxia_late:12%	-0.1774	0.249120691994672	590.86	596	675	403	758	554	68.44	78.64
fadE16	Rv1679	acyl-CoA dehydrogenase FadE16	high_iron:10%	-0.1763	0.193159092613111	609.58	587	679	628	769	415	169.2	194.17
Rv3831	Rv3831	hypothetical protein	butyrate_plus_glucose:41%; butyrate:13%	-0.2047	0.369540544694001	616.26	473	544	535	901	671	61.71	72.38
Rv1891	Rv1891	hypothetical protein	acidic:12%	-0.1685	0.139717928904001	608.8	640	781	592	689	382	531.09	605.03
Rv0895	Rv0895	diacyglycerol O-acyltransferase	hypoxia_late:38%; ctl_stationary:11%; human_sputum:10%	-0.2273	0.403383436066351	639.08	555	640	775	712	530	15.75	18.83
treZ	Rv1562c	malto-oligosyltrehalose trehalohydrolase	hypoxia_late:15%	-0.1784	0.239663032529172	587.54	580	690	424	731	539	33.61	38.71
mbtB	Rv2383c	phenyloxazoline synthase	low_iron:51%; hypoxia_late:12%	-0.1841	0.170547081156012	628.17	549	816	805	644	383	21.51	24.9
hisA	Rv1603	phosphoribosyl isomerase A	microaerophilic:38%	-0.1746	0.194013826105417	593.85	595	661	529	745	460	192.45	220.69
gnd1	Rv1844c	6-phosphogluconate dehydrogenase	low_iron:7%	-0.1674	0.11547502791508	606.79	643	790	613	701	341	242.95	276.66
arsA	Rv2684	arsenic-transport integral membrane protein ArsA	zinc_limitation:10%	-0.1809	0.217458754735777	597.41	559	669	530	750	497	71.46	82.47
PE10	Rv1089	PE family protein	hypoxia_late:39%; ctl_stationary:14%; PBS_RIF_DDmtb:10%	-0.3534	0.743574967983585	660.75	776	427	695	677	763	10.23	13.47
Rv1738	Rv1738	hypothetical protein	cholesterol:29%; ctl_stationary:13%	-0.1813	0.145655144253691	622.41	558	770	766	734	346	1958.75	2250.58
PPE13	Rv0878c	PPE family protein PPE13	hypoxia_late:11%	-0.1947	0.257704457618174	610.22	513	683	632	739	502	38.04	44.25
valV	Rvnt23	tRNA-Val	tyloxopol:15%; hypoxia_late:11%; butyrate_plus_glucose:11%	-0.2886	0.743937666824955	609.2	543	262	358	1113	1001	51.4	64.61
Rv1922	Rv1922	lipoprotein	hypoxia_late:16%; ctl_stationary:12%	-0.1898	0.321901789120585	581.4	533	600	356	810	658	31.04	36.09
Rv1723	Rv1723	hydrolase	hypoxia_late:31%	-0.1904	0.286760877288074	589.28	536	639	465	724	599	30.78	35.75
Rv1507A	Rv1507A	hypothetical protein	human_sputum:13%	-0.1913	0.287158535360025	589.14	506	558	468	829	616	105.94	123.45
frr	Rv2882c	ribosome recycling factor	hypoxia_rar:9%	-0.1843	0.185776942526947	608.7	556	702	646	752	418	380.28	439.01
Rv3187	Rv3187	transposase	hypoxia_late:22%; ctl_stationary:18%	-0.2584	0.534457737612378	621.73	726	589	760	616	444	19	23.17
Rv1403c	Rv1403c	methyltransferase	ctl_stationary:16%; hypoxia_late:13%	-0.2342	0.376463890724621	636.12	393	582	657	903	701	20.36	24.5
ggtB	Rv2394	gamma-glutamyltranspeptidase precursor GgtB	PBS_RIF_DDmtb:11%	-0.1685	0.112140575680226	589.31	631	748	565	693	354	225.78	257.47
pks7	Rv1661	polyketide synthase	hypoxia_late:29%	-0.169	0.102579794545263	595.65	626	805	607	676	324	65.67	74.98
argV	Rvnt18	tRNA-Arg	hypoxia_late:29%; tyloxopol:14%	-0.6413	0.931631216372996	552.93	938	64	197	1000	1108	4.16	8.27
Rv0471c	Rv0471c	hypothetical protein	hypoxia_late:8%	-0.204	0.359859705012702	583.24	494	523	404	838	708	52.65	61.68
pip	Rv0840c	proline iminopeptidase	ctl_stationary:24%; PBS_RIF_DDmtb:16%; nutrient_limitation:12%	-0.2132	0.350956526219979	603.89	469	569	543	826	641	27.14	32.05
Rv3752c	Rv3752c	cytidine/deoxycytidylate deaminase	hypoxia_late:25%	-0.1881	0.239161950040883	586.29	528	645	525	736	513	134.84	155.86
tcrA	Rv0602c	two component DNA binding transcriptional regulator TcrA	hypoxia_late:50%; ctl_stationary:12%; PBS_RIF_DDmtb:11%	-0.3112	0.638822420028477	643.02	616	487	727	733	669	8.62	11.11
frdD	Rv1555	fumarate reductase membrane anchor subunit	acidic:20%; hypoxia_late:17%; acidic_tyloxopol:16%	-0.2705	0.644361604521265	590.28	448	328	371	1041	941	13.71	17.07
PE4	Rv0160c	PE family protein PE4	hypoxia_late:42%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	-0.4156	0.56559151237917	725.64	619	517	1043	613	901	5.91	8.33
vapC14	Rv1953	ribonuclease VapC14	acidic_tyloxopol:11%	-0.2529	0.51833145943241	607.63	387	383	461	1050	908	34.45	42.52
cobU	Rv0254c	bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase	hypoxia_late:18%; nutrient_limitation:10%	-0.2037	0.353042842406274	571.51	488	506	374	863	688	51.73	60.65
ephA	Rv3617	epoxide hydrolase EphA	hypoxia_late:14%	-0.1863	0.235635414836748	570.39	540	625	427	751	534	60.62	70.18
Rv1888c	Rv1888c	transmembrane protein	INDIGO_exponential:8%	-0.2011	0.289947204181324	584.06	468	543	546	825	567	76.7	89.79
Rv0492c	Rv0492c	GMC-type oxidoreductase	hypoxia_late:30%	-0.1754	0.129689225627903	583.76	582	751	596	673	358	97.27	111.5
Rv2577	Rv2577	hypothetical protein	hypoxia_late:26%; ctl_stationary:16%	-0.2546	0.493588952030424	609.82	649	579	747	634	459	11.12	13.63
cyp136	Rv3059	cytochrome P450 Cyp136	hypoxia_late:9%	-0.1769	0.143941421772182	575.9	593	735	582	623	378	81.81	93.81
Rv0963c	Rv0963c	hypothetical protein	hypoxia_late:25%; ctl_stationary:16%; PBS_RIF_DDmtb:14%	-0.4811	0.607267297264209	716.76	610	489	1025	591	944	6.02	8.98
Rv1810	Rv1810	hypothetical protein	acidic:12%; acidic_tyloxopol:12%	-0.1676	0.101469674329278	568.53	633	739	495	669	352	854.06	972.81
Rv2468A	Rv2468A	hypothetical protein	ctl_exponential:12%	-0.183	0.175632587701176	578.67	563	643	619	695	398	522.41	600.83
PPE54	Rv3343c	PPE family protein PPE54	hypoxia_late:36%	-0.2353	0.334250970273588	623.07	504	618	791	559	662	33.23	39.84
Rv2264c	Rv2264c	hypothetical protein	hypoxia_late:23%	-0.1794	0.172711775890056	566.56	576	676	485	656	457	47.93	55.16
gdh	Rv2476c	NAD-dependent glutamate dehydrogenase	zinc_limitation:10%	-0.1642	0.0783598706526804	572.47	665	793	487	638	337	351.58	399.44
MT1650	MT1650	hypothetical protein	human_sputum:13%; high_iron:12%; ctl_exponential:11%	-0.2072	0.268178778175596	595.3	443	555	608	851	555	335.75	394.89
PE22	Rv2107	PE family protein PE22	hypoxia_late:24%; hypoxia_hypoxic:16%; human_sputum:12%	-0.2773	0.53256685884498	624.5	409	479	524	905	892	22.32	27.71
Rv2336	Rv2336	hypothetical protein	INDIGO_exponential:11%	-0.2052	0.243559028782221	598.88	470	674	649	741	485	50.95	59.7
Rv0369c	Rv0369c	membrane oxidoreductase	hypoxia_late:26%; ctl_stationary:10%; human_sputum:10%	-0.262	0.507345595846316	606.94	485	460	600	813	713	20.8	25.48
Rv2239c	Rv2239c	hypothetical protein	ctl_exponential:13%; acidic:12%; INDIGO_exponential:11%	-0.1678	0.0896707416582957	566.6	642	750	502	663	329	737.35	839.61
lipE	Rv3775	lipase LipE	tyloxopol:9%	-0.1737	0.135909431275068	556.26	605	709	447	661	394	106.7	122.19
rpsR2	Rv2055c	30S ribosomal protein S18	zinc_limitation:39%; human_sputum:19%	-0.2307	0.361151961067013	595.78	396	448	540	961	715	90.04	108.2
ureC	Rv1850	urease subunit alpha	hypoxia_late:14%	-0.1771	0.148679456244357	557.15	565	667	460	686	432	71.92	82.79
Rv2733c	Rv2733c	(dimethylallyl)adenosine tRNA methylthiotransferase	hypoxia_late:10%	-0.1702	0.0965021507232759	560.99	623	741	499	650	339	175.85	200.75
MT2565	MT2565	hypothetical protein	hypoxia_late:39%; ctl_stationary:23%; PBS_RIF_DDmtb:10%	-0.618	0.832977448182203	615.92	890	274	526	552	978	3.53	6.59
cmr	Rv1675c	HTH-type transcriptional regulator Cmr	hypoxia_late:27%; human_sputum:13%; ctl_stationary:13%	-0.3179	0.666306025257393	605.45	621	390	554	822	684	8.35	10.9
MT0827	MT0827	hypothetical protein	hypoxia_late:34%; PBS_RIF_DDmtb:18%; ctl_stationary:11%	-0.6125	0.844799965172848	602.01	829	161	616	640	966	7.38	12.6
nuoF	Rv3150	NADH-quinone oxidoreductase subunit F	high_iron:13%; butyrate_plus_glucose:11%; tyloxopol:10%; ctl_exponential:10%	-0.169	0.0873479615733409	560.17	627	718	528	653	323	548.51	625.19
lpqY	Rv1235	trehalose ABC transporter substrate-binding lipoprotein LpqY	PBS_RIF_DDmtb:12%	-0.1756	0.139829189918116	550.52	584	689	454	630	420	81.63	93.68
Rv2405	Rv2405	hypothetical protein	cholesterol:8%	-0.233	0.286373211171893	617.8	336	601	720	719	772	158.81	189.5
ufaA1	Rv0447c	cyclopropane-fatty-acyl-phospholipid synthase UfaA	PBS_RIF_DDmtb:25%; hypoxia_late:13%	-0.2145	0.229921194822787	601.69	432	623	734	790	471	36.13	42.65
mce3B	Rv1967	Mce family protein Mce3B	hypoxia_late:32%; ctl_stationary:11%; PBS_RIF_DDmtb:10%	-0.2671	0.428869249178723	619.05	487	530	796	721	588	11.27	13.94
dop	Rv2112c	pup deamidase/depupylase	zinc_limitation:8%	-0.174	0.10063577920907	553.19	598	684	522	658	342	224.91	257.46
cyp144	Rv1777	cytochrome P450 Cyp144	hypoxia_late:20%; ctl_stationary:14%; PBS_RIF_DDmtb:13%	-0.254	0.418739207775761	597.19	481	559	660	706	593	9.83	12.09
lppI	Rv2046	lipoprotein LppI	hypoxia_late:11%	-0.1928	0.21895968856627	547.94	507	590	428	727	510	88.49	102.86
Rv0123	Rv0123	hypothetical protein	hypoxia_late:13%	-0.2202	0.33847346930468	558.47	415	425	406	916	716	66.44	79.22
Rv0097	Rv0097	oxidoreductase	hypoxia_late:21%; human_sputum:19%	-0.2395	0.362941671366034	588.88	501	520	700	782	472	30.37	36.49
ilvB2	Rv3470c	acetolactate synthase large subunit	hypoxia_late:30%; ctl_stationary:12%	-0.2389	0.367376584671167	583.91	475	518	589	860	514	16.91	20.53
clpP2	Rv2460c	ATP-dependent CLP protease proteolytic subunit 2	human_sputum:9%	-0.1733	0.0955312378079378	547.63	601	682	513	645	336	786.83	899.84
Rv1352	Rv1352	hypothetical protein	acidic:26%	-0.2533	0.448148194085212	581.01	670	494	602	777	400	132.9	161.41
MT1121	MT1121	hypothetical protein	hypoxia_late:32%; hypoxia_hypoxic:11%	-0.4962	0.780890260438849	593.29	720	206	640	674	861	8.29	12.41
snoP	Rv2604c	glutamine amidotransferase SnoP	hypoxia_late:10%	-0.1797	0.123862268293643	542.38	564	686	520	605	365	221.11	253.87
nanT	Rv1902c	sialic acid-transport integral membrane protein NanT	human_sputum:10%	-0.1861	0.155478330073906	542.59	514	602	489	675	448	81.95	94.96
Rv2571c	Rv2571c	transmembrane protein	hypoxia_late:17%	-0.1764	0.134858289933798	524.09	586	662	347	626	436	95.22	109.29
Rv0030	Rv0030	hypothetical protein	hypoxia_late:10%; acidic_tyloxopol:10%	-0.227	0.357176830551901	552.22	423	412	444	847	700	58.77	69.9
Rv3474	Rv3474	transposase	hypoxia_late:34%; ctl_stationary:17%	-0.2429	0.417833287388446	560.18	402	418	412	841	815	36.5	43.96
Rv2570	Rv2570	hypothetical protein	hypoxia_fatty_acids:14%; hypoxia_late:14%; ctl_stationary:13%	-0.3045	0.492361357372245	619.17	462	468	754	814	640	23.79	30.01
MT1936	MT1936	hypothetical protein	butyrate_plus_glucose:9%	-0.1891	0.165985884243615	547.3	510	592	508	692	450	96.4	111.81
Rv2230c	Rv2230c	GTP cyclohydrolase	hypoxia_late:17%	-0.1791	0.108374395131056	545.76	573	703	557	586	344	133.24	152.92
PE_PGRS34	Rv1840c	PE-PGRS family protein PE_PGRS34	hypoxia_late:29%; microaerophilic:24%	-0.1873	0.172241709206294	534.88	515	599	430	680	469	46.34	53.76
Rv3253c	Rv3253c	cationic amino acid transport integral membrane protein	nutrient_limitation:11%; hypoxia_late:11%	-0.1873	0.160006223506387	538.27	527	637	481	620	440	49.63	57.42
Rv1871c	Rv1871c	hypothetical protein	acidic:9%	-0.1772	0.0828475449774141	549.74	569	708	609	608	304	4430.53	5076.54
Rv1428c	Rv1428c	hypothetical protein	hypoxia_late:11%	-0.1914	0.164748641747545	544.48	512	619	533	662	414	96.92	112.29
Rv2106	Rv2106	transposase	hypoxia_late:22%; ctl_stationary:18%	-0.2656	0.476212546808934	565.33	677	531	670	545	424	18.73	22.98
moaR1	Rv3124	transcriptional regulator MoaR	hypoxia_late:16%; human_sputum:15%; ctl_stationary:14%	-0.3755	0.544942009498794	620.01	695	485	926	652	406	9.02	12.16
pepB	Rv2213	cytosol aminopeptidase	tyloxopol:9%	-0.1743	0.0708330105790183	536.9	583	723	515	614	301	279.2	319.58
lppF	Rv1921c	lipoprotein LppF	hypoxia_late:14%; acidic_tyloxopol:11%	-0.2722	0.455822981365025	582.63	648	591	750	602	361	16.34	20.17
Rv3325	Rv3325	transposase	hypoxia_late:34%; ctl_stationary:17%	-0.2451	0.400562137931095	551.65	404	421	419	820	768	36.52	43.99
tgs2	Rv3734c	diacyglycerol O-acyltransferase	acidic:16%; acidic_tyloxopol:12%	-0.1745	0.0697561196851158	536.81	585	724	523	609	296	321.99	368.55
Rv2474c	Rv2474c	hypothetical protein	butyrate_plus_glucose:9%	-0.1804	0.11887643693905	517.62	554	622	423	636	380	206.52	237.69
mpt64	Rv1980c	immunogenic protein Mpt64	acidic_tyloxopol:12%; hypoxia_rar:12%	-0.1791	0.0988883573920801	526.4	561	644	477	633	348	360.02	414.06
PPE31	Rv1807	PPE family protein	acidic:25%; acidic_tyloxopol:12%; hypoxia_fatty_acids:11%	-0.246	0.309544529539474	586.63	413	504	722	612	714	78.59	94.6
MTS1850	MTS1850	small intergenic RNA	acidic:16%; cholesterol:13%; nutrient_limitation:12%	-0.232	0.292211755128101	555.34	471	503	588	571	653	6369.62	7584.12
Rv1895	Rv1895	zinc-binding alcohol dehydrogenase	hypoxia_fatty_acids:15%; ctl_stationary:13%; PBS_RIF_DDmtb:11%	-0.1957	0.204286736022805	516.4	499	545	360	681	523	39.03	45.5
uspA	Rv2316	sugar ABC transporter permease UspA	hypoxia_late:35%; ctl_stationary:13%	-0.2643	0.465746983669082	547.05	435	393	474	762	723	9.96	12.33
rpiB	Rv2465c	ribose-5-phosphate isomerase B	hypoxia_hypoxic:9%	-0.1855	0.13695460255312	515.25	531	616	441	597	408	176.99	204.13
Rv1510	Rv1510	hypothetical protein	hypoxia_late:16%; human_sputum:10%	-0.182	0.130037803608975	505.09	544	610	341	618	442	69.34	80.03
mymA	Rv3083	FAD-containing monooxygenase MymA	nutrient_limitation:15%	-0.1827	0.087472878419266	527.67	546	680	521	610	320	196.36	226.17
leuV	Rvnt20	tRNA-Leu	hypoxia_late:51%; zinc_limitation:19%	-0.7325	0.903719869976494	462.35	781	16	58	957	1370	1.18	4.24
Rv2955c	Rv2955c	hypothetical protein	hypoxia_late:12%	-0.1884	0.136968925218275	513.42	523	604	458	594	403	83.13	96.12
Rv1756c	Rv1756c	transposase	hypoxia_late:23%; ctl_stationary:19%	-0.2729	0.421762703068008	570	483	516	642	637	581	10.56	13.12
Rv2479c	Rv2479c	transposase	hypoxia_late:23%; ctl_stationary:19%	-0.274	0.419103254445218	570.22	491	519	661	627	562	10.57	13.13
nagA	Rv3332	N-acetylglucosamine-6-phosphate deacetylase NagA	hypoxia_late:27%	-0.1848	0.112903369463095	513.29	539	628	473	596	355	103.63	119.56
Rv1507c	Rv1507c	hypothetical protein	hypoxia_late:10%	-0.1968	0.170468865236764	516	467	532	434	688	477	95.63	111.65
frdB	Rv1553	fumarate reductase iron-sulfur subunit	hypoxia_late:32%; acidic:21%	-0.4671	0.555878933388792	618.33	685	472	953	526	512	4.28	6.43
ilvE	Rv2210c	branched-chain amino acid aminotransferase	ctl_exponential:8%	-0.1833	0.0942649802670049	513.01	541	611	498	601	340	202.99	234.08
MT1490	MT1490	hypothetical protein	hypoxia_late:38%; PBS_RIF_DDmtb:12%	-0.5304	0.686347960448832	579.28	646	321	586	624	774	7.24	11.26
PE2	Rv0152c	PE family protein PE2	hypoxia_late:25%; PBS_RIF_DDmtb:15%; ctl_stationary:12%	-0.2311	0.205527547233515	556.93	383	626	692	685	438	19.37	23.21
Rv2468c	Rv2468c	hypothetical protein	ctl_exponential:9%	-0.1769	0.0659278968301746	509.54	579	671	475	574	294	605.26	693.47
cobIJ	Rv2066	bifunctional S-adenosyl-L-methionine-precorrin-2 methyl transferase/precorrin-3 methylase	hypoxia_late:20%	-0.1869	0.0872068826156095	525.89	525	646	614	590	298	152.2	175.67
Rv2307c	Rv2307c	hypothetical protein	hypoxia_late:23%	-0.2065	0.188251476994711	519.2	447	551	505	639	465	53.17	62.32
echA13	Rv1935c	enoyl-CoA hydratase EchA13	hypoxia_late:33%; ctl_stationary:12%	-0.3075	0.487596646670857	567.05	568	500	703	617	463	9.9	12.63
Rv0268c	Rv0268c	hypothetical protein	acidic_tyloxopol:14%; human_sputum:12%	-0.2038	0.144178755740422	533.68	457	598	621	646	374	156.7	182.93
Rv3380c	Rv3380c	transposase	hypoxia_late:23%; ctl_stationary:19%	-0.2742	0.410191947391566	562.57	479	514	651	621	557	10.57	13.14
Rv2569c	Rv2569c	hypothetical protein	hypoxia_late:21%	-0.209	0.250057618179362	492.47	454	483	276	730	578	30.07	35.43
Rv2910c	Rv2910c	hypothetical protein	hypoxia_late:15%; human_sputum:15%; PBS_RIF_DDmtb:13%; ctl_stationary:12%	-0.5245	0.47812447555287	659.19	405	505	715	787	960	52.6	77.33
MT3378	MT3378	hypothetical protein	INDIGO_exponential:12%; tyloxopol:12%	-0.3264	0.633126128031073	525.74	455	204	328	995	863	36.47	47.38
fbpB	Rv1886c	diacylglycerol acyltransferase/mycolyltransferase Ag85B	tyloxopol:11%	-0.1818	0.0620741888521552	518.05	530	677	572	580	281	997.06	1146.34
Rv2814c	Rv2814c	transposase	hypoxia_late:23%; ctl_stationary:19%	-0.2759	0.410064876749712	558.48	478	507	638	619	559	10.56	13.15
rsmA	Rv3912	anti-sigma-M factor RsmA	hypoxia_late:30%; ctl_stationary:10%	-0.2767	0.365240211028087	574.39	329	541	615	812	632	12.5	15.58
rpmH	Rv3924c	50S ribosomal protein L34	INDIGO_exponential:10%	-0.1965	0.121468344196327	516.01	464	564	560	654	363	935.12	1088.28
aprA	Rv2395A	acid and phagosome regulated protein AprA	acidic:18%; cholesterol:15%; nutrient_limitation:13%	-0.2367	0.258644007345352	532.32	434	484	568	553	634	9123.09	10898.27
MT3855	MT3855	hypothetical protein	ctl_exponential:12%	-0.1783	0.0653066170339995	501.66	560	653	452	581	303	295.66	339.62
vapC4	Rv0595c	ribonuclease VapC4	PBS_RIF_DDmtb:13%; hypoxia_late:13%; ctl_stationary:10%	-0.5015	0.678820484464205	559.5	713	283	480	802	601	7.82	11.94
hemA	Rv0509	glutamyl-tRNA reductase	zinc_limitation:10%	-0.1737	0.0396409024934211	507.87	589	694	479	564	270	923.82	1056.13
Rv3639c	Rv3639c	hypothetical protein	hypoxia_late:28%; PBS_RIF_DDmtb:15%; ctl_stationary:10%	-0.292	0.505786820260914	535.9	403	320	405	922	745	13.48	17.2
Rv1366	Rv1366	hypothetical protein	hypoxia_late:14%; human_sputum:12%; ctl_stationary:10%	-0.2362	0.246237958512541	534.46	376	498	581	729	519	29.72	35.62
cobC	Rv2231c	aminotransferase	hypoxia_late:16%	-0.1902	0.112949039376988	499.55	511	594	488	566	357	96.23	111.41
MT0895	MT0895	hypothetical protein	hypoxia_late:13%	-0.3259	0.672396620057875	494.67	452	169	186	1016	988	16.08	20.97
lipF	Rv3487c	carboxylesterase LipF	nutrient_limitation:18%; acidic:10%; INDIGO_exponential:10%	-0.1808	0.0560943367116004	508.02	547	657	544	565	275	954.16	1096.21
Rv0246	Rv0246	integral membrane protein	human_sputum:12%	-0.1958	0.129539169611041	503.01	459	549	450	648	425	69.04	80.67
sirA	Rv2391	sulfite reductase	nutrient_limitation:10%	-0.1811	0.0581969052448706	502.05	551	652	503	561	286	857.47	985.43
mhpE	Rv3469c	4-hydroxy-2-oxovalerate aldolase MhpE	hypoxia_late:26%; ctl_stationary:14%; PBS_RIF_DDmtb:13%	-0.2567	0.325849497599318	537.05	330	465	511	803	635	11.58	14.25
Rv1503c	Rv1503c	conserved hypothetical protein	hypoxia_late:17%; ctl_stationary:13%	-0.2662	0.373666685116441	536.65	351	387	463	828	736	17.42	21.47
echA8	Rv1070c	enoyl-CoA hydratase EchA8	hypoxia_late:10%	-0.1895	0.08371350350104	511.63	503	641	556	595	302	251.34	290.71
aceAb	Rv1916	isocitrate lyase AceAb	acidic_tyloxopol:9%	-0.1914	0.0896211996187788	510.33	497	634	561	585	310	132.44	153.46
lysU	Rvnt30	tRNA-Lys	hypoxia_hypoxic:24%; hypoxia_late:18%; hypoxia_rar:13%; human_sputum:11%	-0.4196	0.66595648322778	528.45	520	184	388	907	827	31.93	44.81
MT1777	MT1777	hypothetical protein	nutrient_limitation:49%; ctl_stationary:23%; PBS_RIF_DDmtb:10%	-0.5217	0.579338347264825	587.43	676	329	1017	488	532	10.92	16.42
Rv1369c	Rv1369c	transposase	hypoxia_late:23%; ctl_stationary:19%	-0.2791	0.391001198088654	541.1	461	496	622	599	536	10.56	13.18
aceE	Rv2241	pyruvate dehydrogenase E1 component	high_iron:10%	-0.173	0.0288299261218416	487.81	594	701	385	558	267	338.03	386.47
Rv2843	Rv2843	hypothetical protein	hypoxia_late:15%	-0.266	0.289829853364952	549.94	359	467	674	583	707	126.34	154.03
ugpB	Rv2833c	sn-glycerol-3-phosphate ABC transporter substrate-binding lipoprotein UgpB	PBS_RIF_DDmtb:30%; hypoxia_late:27%	-0.2399	0.261778216541805	511.63	333	453	459	793	575	13.73	16.72
Rv1722	Rv1722	carboxylase	hypoxia_late:23%	-0.2016	0.125139854220236	487.55	441	547	470	607	388	47.35	55.45
Rv2730	Rv2730	hypothetical protein	hypoxia_late:13%; ctl_stationary:13%	-0.2419	0.244064422242854	519.29	476	509	652	587	392	71.28	85.43
Rv1924c	Rv1924c	hypothetical protein	INDIGO_exponential:10%	-0.1959	0.110249575977935	477.55	493	567	426	550	367	203.28	235.97
MT2375	MT2375	hypothetical protein	INDIGO_exponential:10%	-0.2838	0.515368555226446	477.18	363	217	212	1001	855	58.3	72.72
MT1414.1	MT1414.1	hypothetical protein	acidic:26%; ctl_exponential:10%	-0.2307	0.199387913290626	503.57	362	473	512	738	468	255.08	303.96
csm1	Rv2823c	CRISPR-associated protein Cas10/Csm1	hypoxia_late:20%	-0.2099	0.116449780633493	504.46	421	617	583	600	335	30.36	35.76
gcvT	Rv2211c	aminomethyltransferase	tyloxopol:11%	-0.185	0.0503485216393374	479.13	522	624	484	539	269	207.17	238.78
cobD	Rv2236c	cobalamin biosynthesis transmembrane protein CobD	hypoxia_late:31%	-0.2144	0.172415452504233	473.8	401	436	373	700	491	44.39	52.65
fadE17	Rv1934c	acyl-CoA dehydrogenase FadE17	hypoxia_late:38%	-0.2127	0.197515934370253	452.72	418	441	239	691	538	23.88	28.29
stp	Rv2333c	multidrug resistance protein	hypoxia_late:14%	-0.2007	0.110262218300389	480.02	460	575	482	549	351	43.04	50.26
Rv3126c	Rv3126c	hypothetical protein	hypoxia_late:16%; ctl_stationary:15%; hypoxia_hypoxic:15%	-0.707	0.582695520017358	567.9	658	391	745	484	597	2.86	5.81
Rv2278	Rv2278	transposase	hypoxia_late:34%; ctl_stationary:17%	-0.2572	0.337200963179577	496.26	355	363	370	778	695	36.19	44
Rv3114	Rv3114	hypothetical protein	hypoxia_late:22%; ctl_stationary:18%	-0.4538	0.594380782271232	530.31	723	370	627	441	528	5.5	8.01
trxA	Rv1470	thioredoxin TrxA	hypoxia_late:12%; human_sputum:11%	-0.2405	0.262360714444203	485.93	354	382	431	740	571	52.53	63.12
Rv2167c	Rv2167c	transposase	hypoxia_late:23%; ctl_stationary:19%	-0.2808	0.371909995086434	523.89	445	482	599	568	533	10.51	13.13
lprA	Rv1270c	lipoprotein LprA	hypoxia_late:8%	-0.193	0.0949556290270956	453.87	498	550	321	557	370	114.68	133.12
MT3847	MT3847	hypothetical protein	nutrient_limitation:61%; PBS_RIF_DDmtb:23%	-0.3656	0.659284012090196	451.3	437	122	139	994	958	23.48	31.42
Rv1105	Rv1105	para-nitrobenzyl esterase	hypoxia_late:15%; human_sputum:12%; PBS_RIF_DDmtb:10%	-0.3121	0.483144470664159	507.39	337	295	366	858	822	8.43	10.94
Rv3087	Rv3087	diacyglycerol O-acyltransferase	hypoxia_late:18%; nutrient_limitation:11%	-0.1975	0.090415358575139	475.24	466	583	455	569	327	85.5	99.7
cysU	Rvnt33	tRNA-Cys	hypoxia_late:16%; human_sputum:14%; zinc_limitation:13%	-0.298	0.585092110216064	437.84	417	144	90	1010	957	45.82	57.75
Rv1739c	Rv1739c	sulfate ABC transporter permease	cholesterol:17%; ctl_stationary:16%; nutrient_limitation:10%	-0.2348	0.187914822008332	501.7	651	553	667	502	217	78.77	94.05
