GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_DMSO_RIF	Rv0494_DMSO_noDrug
Rv2311	Rv2311	hypothetical protein	hypoxia_late:27%; ctl_stationary:11%	-0.1305	0.999271167209118	1147.53	1236	1005	1144	1145	1215	15.81	17.52
Rv0218	Rv0218	transmembrane protein	hypoxia_late:25%; human_sputum:10%	-0.1018	0.994490727258512	1110.33	1150	1080	1079	1089	1155	21.36	23.14
MTS2977	MTS2977	small intergenic RNA	ctl_exponential:10%	-0.0893	0.980174574746572	1101.56	1195	1221	1179	1003	926	638.22	682.51
Rv0208c	Rv0208c	tRNA (guanine-N(7)-)-methyltransferase	nutrient_limitation:10%	-0.0833	0.961408773322044	1111.07	1054	1257	1133	1065	1053	158.63	169.04
pknH	Rv1266c	serine/threonine-protein kinase PknH	ctl_stationary:22%; hypoxia_late:11%	-0.0861	0.970805805945587	1107.16	1115	1207	1155	1075	990	89.97	96.14
fadD1	Rv1750c	fatty-acid--CoA ligase FadD1	hypoxia_late:13%	-0.0895	0.97467976534324	1108.06	1017	1162	1076	1119	1170	31.63	33.94
moeB2	Rv3116	molybdenum cofactor biosynthesis protein MoeB	tyloxopol:9%	-0.0903	0.975266861660012	1106.98	1114	1183	1211	1055	980	138.24	148
Rv3717	Rv3717	hypothetical protein	tyloxopol:16%	-0.0829	0.961345285064791	1106	1091	1248	1142	1085	973	311.56	332.02
MT3135	MT3135	hypothetical protein	low_iron:23%	-0.0978	0.988965063866711	1108.94	1035	1049	1028	1194	1248	199.65	215.41
Rv0424c	Rv0424c	hypothetical protein	butyrate_plus_glucose:9%	-0.0888	0.973440060621153	1106.32	1088	1177	1141	1081	1047	424.04	453.53
Rv2478c	Rv2478c	hypothetical protein	hypoxia_late:28%; hypoxia_rar:12%	-0.1021	0.991124364858572	1118.3	1030	1039	1067	1218	1247	37.22	40.34
lpqO	Rv0604	lipoprotein LpqO	hypoxia_late:26%	-0.0969	0.983051752897617	1112.85	1108	1178	1160	1050	1071	68.86	74.11
vapB4	Rv0596c	antitoxin VapB4	hypoxia_late:13%; PBS_RIF_DDmtb:11%; ctl_stationary:11%	-0.1398	0.999538121866417	1145.05	1251	846	1213	1192	1252	20.04	22.38
mymA	Rv3083	FAD-containing monooxygenase MymA	nutrient_limitation:15%	-0.0877	0.969467776592729	1102.75	1067	1150	1158	1124	1018	147.61	157.96
glpQ1	Rv3842c	glycerophosphoryl diester phosphodiesterase	cholesterol:18%; butyrate:16%	-0.0816	0.94974565600994	1091.33	1072	1235	1122	1110	929	998.45	1062.68
Rv2810c	Rv2810c	transposase	hypoxia_late:20%	-0.0942	0.978729645759508	1096.19	1025	1149	1053	1101	1156	111.78	120.1
thiX	Rv0816c	thioredoxin ThiX	hypoxia_late:19%	-0.1059	0.994042456994989	1103.93	1123	1044	1048	1116	1192	61.06	66.27
mmaA4	Rv0642c	hydroxymycolate synthase MmaA4	tyloxopol:8%	-0.0891	0.96832219660517	1096.5	1145	1242	1200	1027	888	444.17	474.89
Rv0268c	Rv0268c	hypothetical protein	acidic_tyloxopol:14%; human_sputum:12%	-0.0886	0.96854993207828	1093.08	1006	1197	1057	1094	1116	132.39	141.64
MT3573.16	MT3573.16	hypothetical protein	hypoxia_late:49%	-0.1532	0.999923946729951	1087.29	1242	603	660	1548	1603	7.56	8.88
Rv2617c	Rv2617c	transmembrane protein	low_iron:24%; hypoxia_fatty_acids:12%	-0.0929	0.974178092137447	1095.47	1034	1152	1089	1096	1108	144.86	155.48
Rv0347	Rv0347	membrane protein	hypoxia_fatty_acids:14%	-0.0998	0.984735466981277	1097.36	1024	1111	1054	1099	1203	26.06	28.18
efpA	Rv2846c	MFS-type transporter EfpA	INDIGO_exponential:15%	-0.0809	0.941265437364428	1089.61	1074	1284	1174	1056	881	1325.99	1409.67
Rv2411c	Rv2411c	hypothetical protein	zinc_limitation:8%	-0.0827	0.949550678262463	1083.98	1052	1258	1106	1036	978	99.66	106.19
glgE	Rv1327c	alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase	microaerophilic:20%	-0.0821	0.943790977233915	1088.95	1065	1278	1124	1074	919	169.74	180.75
dnaN	Rv0002	DNA polymerase III subunit beta	acidic:9%	-0.0952	0.976476931773623	1093.73	1121	1166	1225	1015	953	133.42	143.23
Rv2035	Rv2035	hypothetical protein	hypoxia_fatty_acids:51%	-0.1129	0.996126912114349	1099.31	1112	1017	1040	1117	1216	31.73	34.63
Rv0546c	Rv0546c	hypothetical protein	tyloxopol:12%	-0.0907	0.967472143220841	1090.19	987	1168	1095	1088	1117	164.9	176.64
Rv3050c	Rv3050c	AsnC family transcriptional regulator	low_iron:11%	-0.0848	0.94994765315044	1087.82	1048	1215	1123	1111	951	601.78	642.32
MT3718.1	MT3718.1	hypothetical protein	acidic_tyloxopol:14%	-0.1434	0.999618999242017	1106.55	1168	859	927	1270	1351	15.58	17.61
Rv1314c	Rv1314c	cob(I)yrinic acid a,c-diamide adenosyltransferase	ctl_stationary:8%	-0.1049	0.991398972293952	1086.98	1153	1086	1087	1019	1092	66.46	71.97
ptrBb	Rv0782	protease II ptrBb	human_sputum:17%; hypoxia_late:14%	-0.1005	0.986297469521784	1084.06	1158	1124	1126	1011	1006	43.87	47.37
Rv0909	Rv0909	antitoxin	human_sputum:14%	-0.1001	0.986411254024372	1081.12	1141	1100	1132	1023	1013	420.1	452.74
Rv3769	Rv3769	hypothetical protein	INDIGO_exponential:9%	-0.1116	0.995661666918599	1088.68	1281	1092	1169	978	941	352.63	382.67
cyp125	Rv3545c	steroid C26-monooxygenase	hypoxia_fatty_acids:39%	-0.1086	0.994885112989115	1077.42	1210	1056	1116	989	1023	29.54	32.11
choD	Rv3409c	cholesterol oxidase	microaerophilic:12%	-0.0827	0.942983519909417	1077.66	1057	1234	1086	1102	921	921.75	982.07
Rv0621	Rv0621	membrane protein	hypoxia_late:26%	-0.1048	0.986861756204573	1091.91	1013	1081	1037	1125	1209	18.54	20.18
MT3156	MT3156	hypothetical protein	hypoxia_late:20%; ctl_stationary:12%	-0.1328	0.999067863360653	1090.31	1079	808	841	1360	1440	35.27	39.38
rimJ	Rv0995	ribosomal-protein-alanine acetyltransferase RimJ	hypoxia_late:10%	-0.0887	0.958285268594201	1076.62	1016	1167	1051	1084	1068	175.95	188.39
MT1578.1	MT1578.1	hypothetical protein	human_sputum:21%; hypoxia_late:12%; hypoxia_hypoxic:10%	-0.1553	0.99966599192175	1115.97	1382	840	919	1178	1313	24.45	27.78
Rv1672c	Rv1672c	integral membrane transport protein	hypoxia_late:11%; butyrate:11%	-0.0969	0.978652018668493	1070.6	1149	1158	1145	974	938	90.29	97.16
gatB	Rv3009c	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	zinc_limitation:9%	-0.0867	0.951703092352603	1068.03	1084	1224	1161	1017	872	199.77	213.3
Rv0464c	Rv0464c	hypothetical protein	low_iron:15%; tyloxopol:10%	-0.0904	0.960986993573308	1072.16	1060	1186	1165	999	960	249.78	267.32
Rv3705c	Rv3705c	hypothetical protein	low_iron:8%	-0.0935	0.965137681327921	1078.92	976	1144	1047	1113	1119	104.41	112.23
Rv0870c	Rv0870c	integral membrane protein	cholesterol:9%	-0.0846	0.948153949833237	1063.21	1045	1216	1016	1052	994	400.38	427.12
Rv3434c	Rv3434c	transmembrane protein	human_sputum:12%	-0.0969	0.974792601599495	1072.85	995	1112	1021	1095	1145	58.87	63.43
fadE29	Rv3543c	acyl-CoA dehydrogenase FadE29	hypoxia_fatty_acids:20%; human_sputum:11%; hypoxia_late:10%	-0.0931	0.96538947798089	1068.5	978	1141	1018	1090	1120	45.94	49.4
fabG2	Rv1350	3-oxoacyl-ACP reductase FabG	hypoxia_late:14%	-0.1056	0.983889630972708	1078.17	1015	1073	1041	1097	1168	34.72	37.7
Rv3098A	Rv3098A	PemK-like protein	ctl_stationary:12%	-0.1024	0.984642866130638	1057.15	1105	1060	1077	1030	1015	201.37	217.47
MT3268	MT3268	hypothetical protein	hypoxia_late:29%; ctl_stationary:24%	-0.1966	0.999971115877815	1089.49	1249	516	739	1464	1725	1.36	2.02
mpa	Rv2115c	proteasome-associated ATPase	cholesterol:13%; nutrient_limitation:12%	-0.0819	0.922932484402273	1056.27	1063	1273	1091	1054	825	480.99	512.04
Rv2034	Rv2034	ArsR family HTH-type transcriptional repressor	hypoxia_fatty_acids:46%; acidic_tyloxopol:16%	-0.1275	0.998092876995745	1077.14	1198	940	1026	1066	1166	36.05	39.76
mazE4	Rv1494	antitoxin MazE4	high_iron:8%	-0.0962	0.972557942014606	1062.69	994	1105	1033	1063	1121	154.31	165.92
Rv3424c	Rv3424c	hypothetical protein	human_sputum:18%; nutrient_limitation:12%	-0.0952	0.972382777147617	1054.54	971	1108	894	1121	1193	91.87	98.8
mce1R	Rv0165c	transcriptional regulator Mce1R	acidic_tyloxopol:14%	-0.0864	0.943885991911067	1051.83	1027	1190	1019	1046	983	234.85	250.98
Rv0224c	Rv0224c	methyltransferase	hypoxia_late:13%	-0.1099	0.98809249552156	1071.81	1095	1038	1109	1040	1078	44.82	48.74
Rv2510c	Rv2510c	hypothetical protein	hypoxia_late:12%	-0.0904	0.949538887291744	1058.14	996	1164	1083	1045	1007	70.45	75.52
Rv3325	Rv3325	transposase	hypoxia_late:34%; ctl_stationary:17%	-0.1154	0.993616536572234	1070.75	997	962	992	1155	1263	31.68	34.66
Rv3748	Rv3748	hypothetical protein	acidic_tyloxopol:10%	-0.1029	0.977894827807748	1069.41	1043	1059	1168	1058	1022	193.9	209.3
Rv3131	Rv3131	NAD(P)H nitroreductase	cholesterol:35%; nutrient_limitation:14%; butyrate:10%	-0.1016	0.978805881313888	1056.25	1157	1125	1180	966	871	1280.38	1379.74
panD	Rv3601c	aspartate 1-decarboxylase	zinc_limitation:11%	-0.0986	0.969733510215556	1067.23	1021	1103	1148	1037	1030	173.7	186.91
MT0009	MT0009	hypothetical protein	ctl_stationary:12%; hypoxia_late:12%	-0.1656	0.999757134910876	1090.92	1214	720	1036	1212	1330	21.1	24.21
mpt64	Rv1980c	immunogenic protein Mpt64	acidic_tyloxopol:12%; hypoxia_rar:12%	-0.0906	0.94816166964176	1052.53	1061	1196	1118	1002	898	373.74	400.21
Rv0458	Rv0458	aldehyde dehydrogenase	cholesterol:18%; acidic:11%	-0.0869	0.941109177660806	1044.36	1022	1172	1030	1031	972	104.78	112.03
Rv2771c	Rv2771c	hypothetical protein	ctl_exponential:8%	-0.0937	0.957529904377109	1050.59	967	1142	1027	1038	1083	143.05	153.56
vapC21	Rv2757c	ribonuclease VapC21	human_sputum:16%; hypoxia_late:12%	-0.1122	0.991249420443913	1051.66	1083	991	968	1087	1134	61.01	66.51
Rv0891c	Rv0891c	hypothetical protein	hypoxia_late:16%	-0.1086	0.986363329854914	1050.99	1069	1018	1078	1012	1079	42.57	46.24
PPE57	Rv3425	PPE family protein PPE57	nutrient_limitation:19%; hypoxia_rar:13%; human_sputum:11%	-0.0965	0.964173915113719	1051.41	1018	1133	1035	1035	1038	141.18	151.89
lppH	Rv3576	lipoprotein LppH	hypoxia_late:10%	-0.0991	0.969860275798217	1051.22	1032	1099	1064	1042	1020	105.23	113.49
MT1166	MT1166	hypothetical protein	PBS_RIF_DDmtb:35%; hypoxia_late:23%; ctl_stationary:11%	-0.1974	0.999907285063117	1128.19	1447	696	922	1340	1336	8.91	10.8
fadE28	Rv3544c	acyl-CoA dehydrogenase FadE28	hypoxia_fatty_acids:27%	-0.0954	0.962693311964516	1043.46	954	1116	959	1070	1125	44.39	47.79
adhC	Rv3045	NADP-dependent alcohol dehydrogenase	human_sputum:8%	-0.099	0.97405521024842	1030.31	1159	1090	1104	976	839	321.6	346.45
Rv2775	Rv2775	GCN5-like N-acetyltransferase	acidic_tyloxopol:10%	-0.0978	0.963632982129185	1048.18	942	1109	1017	1060	1118	94.03	101.28
Rv1531	Rv1531	hypothetical protein	human_sputum:10%	-0.1107	0.985355963005514	1047.46	1081	1008	1058	1041	1050	73.69	80.14
narX	Rv1736c	nitrate reductase-like protein NarX	cholesterol:18%; ctl_stationary:16%; hypoxia_hypoxic:14%	-0.102	0.97619164295589	1035.36	1134	1075	1153	954	875	112.9	121.82
ispF	Rv3581c	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	microaerophilic:18%	-0.0989	0.973013623450849	1026.95	1122	1025	1075	1062	861	1156.6	1247.18
Rv1532c	Rv1532c	hypothetical protein	hypoxia_late:9%	-0.1201	0.992547966668823	1048.66	1103	955	1062	1026	1101	47.09	51.56
MT1771.1	MT1771.1	hypothetical protein	butyrate:13%; tyloxopol:11%; hypoxia_late:10%	-0.1497	0.998731109356674	1078.91	1092	698	1105	1181	1381	30.99	34.91
glnB	Rv2919c	nitrogen regulatory protein P-II	nutrient_limitation:14%	-0.094	0.951237758081932	1027.7	1026	1084	1049	1034	948	545.15	585.5
proZ	Rv3756c	glycine betaine/carnitine/choline/L-proline ABC transporter permease ProZ	high_iron:12%	-0.097	0.958200506559368	1038.23	1004	1102	1052	1044	991	156.7	168.82
narL	Rv0844c	nitrate/nitrite response transcriptional regulator NarL	hypoxia_late:10%	-0.0881	0.923262250217344	1033.86	999	1195	1098	977	912	309.31	330.63
Rv3007c	Rv3007c	oxidoreductase	INDIGO_exponential:8%	-0.0935	0.946256825150913	1030.89	961	1128	969	1049	1052	143.56	154.24
cyp132	Rv1394c	cytochrome P450 Cyp132	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	-0.0999	0.960266053877158	1043.84	982	1132	1045	1032	1031	44.56	48.13
modC	Rv1859	molybdenum ABC transporter ATP-binding protein ModC	human_sputum:14%	-0.093	0.933634779842358	1039.61	986	1187	1112	973	950	113.46	121.73
fbiB	Rv3262	coenzyme F420:L-glutamate ligase	hypoxia_late:17%	-0.1016	0.976948488712848	1015.1	1156	1072	1085	921	857	143.88	155.21
Rv1508c	Rv1508c	membrane protein	tyloxopol:11%	-0.0869	0.921872360634097	1022.5	1011	1203	1014	970	925	98.95	105.77
aroG	Rv2178c	phospho-2-dehydro-3-deoxyheptonate aldolase AroG	INDIGO_exponential:10%	-0.0907	0.935275867161769	1026.27	1064	1192	1138	963	799	374.76	401.14
MT1070.1	MT1070.1	hypothetical protein	PBS_RIF_DDmtb:13%; ctl_stationary:12%	-0.1422	0.998122773203132	1064.9	1189	806	1068	1071	1217	27.87	31.2
vapC17	Rv2527	ribonuclease VapC17	human_sputum:18%; hypoxia_late:10%	-0.1169	0.98775503496073	1040.8	1071	970	1072	1021	1072	76.09	83
vapB13	Rv1839c	antitoxin VapB13	human_sputum:11%	-0.1138	0.99100310232814	1019.08	1055	936	928	1047	1137	85.36	92.99
Rv1579c	Rv1579c	phage protein	hypoxia_late:17%	-0.1205	0.990407368439084	1047.92	918	902	883	1250	1329	23.99	26.47
Rv2267c	Rv2267c	hypothetical protein	hypoxia_late:26%; ctl_stationary:11%	-0.1327	0.994852630215878	1061.99	1116	971	1094	1018	1115	10.42	11.61
Rv3613c	Rv3613c	hypothetical protein	acidic:22%; acidic_tyloxopol:22%	-0.1093	0.977730193292529	1031.77	1097	1012	1175	968	917	764.69	828.46
Rv3236c	Rv3236c	integral membrane transport protein	acidic:10%	-0.0914	0.933998395767972	1020.85	981	1146	991	1016	975	114.24	122.56
PPE8	Rv0355c	PPE family protein PPE8	hypoxia_late:23%; ctl_stationary:15%; human_sputum:11%	-0.092	0.920116743989627	1035.22	979	1188	1125	1013	885	21.74	23.41
plcA	Rv2351c	membrane-associated phospholipase A	ctl_stationary:14%; hypoxia_late:13%; human_sputum:11%	-0.1051	0.978139781368754	1012.42	1059	1046	1050	944	966	39.84	43.15
dnaE1	Rv1547	DNA polymerase III subunit alpha	zinc_limitation:13%	-0.085	0.90298107337243	1018.52	1029	1219	1088	1005	778	177.95	189.83
gabT	Rv2589	4-aminobutyrate aminotransferase	microaerophilic:10%	-0.0878	0.920704200248383	1014.99	1008	1163	1011	1010	892	194.45	207.93
MT0946	MT0946	hypothetical protein	ctl_exponential:15%; hypoxia_late:12%	-0.1145	0.986211884008162	1019.4	1053	982	1029	991	1043	249.82	271.94
MT4035.1	MT4035.1	hypothetical protein	microaerophilic:18%; ctl_stationary:12%	-0.1055	0.973053341980269	1018.42	1089	1031	1074	987	916	437.55	473.68
glpQ2	Rv0317c	glycerophosphoryl diester phosphodiesterase GlpQ	zinc_limitation:14%	-0.0907	0.918758319951189	1024.98	973	1179	1096	975	913	240.63	257.76
Rv1996	Rv1996	universal stress protein	cholesterol:33%; microaerophilic:13%	-0.1013	0.967533477536948	1014.45	1118	1096	1140	924	815	447.7	482.46
pntB	Rv0157	NAD(P) transhydrogenase subunit beta PntB	tyloxopol:10%	-0.0869	0.903306107868733	1015.29	1019	1217	1081	986	797	297.04	317.2
Rv2012	Rv2012	hypothetical protein	hypoxia_fatty_acids:30%; ctl_stationary:13%; hypoxia_late:11%	-0.1389	0.997259402438889	1045.41	991	791	835	1299	1378	6.35	7.26
Rv1081c	Rv1081c	membrane protein	hypoxia_late:19%	-0.1257	0.990603985524542	1037.46	1051	853	1092	1093	1110	45.88	50.42
bpoB	Rv1123c	peroxidase BpoB	hypoxia_late:9%	-0.0921	0.924729301541768	1013.8	964	1153	1061	972	927	155.36	166.6
MT2934	MT2934	hypothetical protein	hypoxia_fatty_acids:14%	-0.0993	0.948711049594544	1017.06	916	1088	1003	1008	1075	73.65	79.43
rsdA	Rv3413c	anti-sigma-D factor RsdA	low_iron:9%	-0.0868	0.901931803887186	1006.25	1009	1201	1042	1009	792	586.94	626.91
accE5	Rv3281	bifunctional protein acetyl-/propionyl-CoAcarboxylase subunit epsilon AccE	ctl_exponential:14%; acidic:10%	-0.0874	0.906775770640716	999.9	1012	1174	990	1024	816	1096.9	1172.25
Rv0104	Rv0104	hypothetical protein	human_sputum:11%; zinc_limitation:11%	-0.1114	0.978280415136073	1011.64	1066	1030	1099	920	949	39.34	42.8
valT	Rvnt31	tRNA-Val	human_sputum:15%; hypoxia_late:13%	-0.1357	0.996660326560394	1024.28	1047	821	914	1141	1225	73.55	81.57
Rv1319c	Rv1319c	adenylate cyclase	PBS_RIF_DDmtb:18%; nutrient_limitation:14%	-0.1029	0.950953757315805	1021.7	956	1045	1056	1072	982	65.12	70.55
Rv3353c	Rv3353c	hypothetical protein	hypoxia_late:20%; ctl_stationary:12%; hypoxia_hypoxic:12%	-0.162	0.999260633761883	1039.77	1101	684	947	1260	1269	9.47	10.94
vapB5	Rv0626	antitoxin VapB5	tyloxopol:10%	-0.1056	0.970144624987525	996.56	1062	1026	1084	922	896	400.93	433.47
proC	Rv0500	pyrroline-5-carboxylate reductase	hypoxia_late:10%	-0.1017	0.943743457206027	1022.17	950	1113	1115	1001	939	131.87	142.33
Rv3542c	Rv3542c	hypothetical protein	human_sputum:17%; hypoxia_fatty_acids:16%	-0.1113	0.972542387637575	1015.11	941	966	983	1079	1112	31.39	34.24
Rv3311	Rv3311	hypothetical protein	hypoxia_rar:8%	-0.0906	0.912523495463841	993.64	972	1151	978	957	918	127.18	136.3
lppT	Rv1799	lipoprotein LppT	acidic:17%	-0.1129	0.97660323194151	1010.32	952	968	940	1051	1148	133.05	144.88
Rv2714	Rv2714	hypothetical protein	ctl_stationary:9%	-0.0911	0.910608620318097	995.53	975	1157	1046	928	883	185.95	199.17
Rv0888	Rv0888	hypothetical protein	butyrate:10%	-0.0992	0.938180539695293	1001.38	1023	1121	1097	926	853	128.76	138.76
mmpL4	Rv0450c	transmembrane transport protein MmpL4	tyloxopol:15%	-0.0877	0.89319855052189	985.21	998	1189	960	983	814	113.78	121.69
MT0036	MT0036	hypothetical protein	hypoxia_late:16%; ctl_stationary:14%	-0.1628	0.998427953826295	1055.16	1106	727	953	1243	1301	14.72	16.93
Rv1505c	Rv1505c	hypothetical protein	INDIGO_exponential:14%; hypoxia_late:13%; ctl_stationary:10%	-0.103	0.94862032237198	1008.79	907	1027	974	1053	1088	77.38	83.75
fic	Rv3641c	cell filamentation protein Fic	nutrient_limitation:11%; PBS_RIF_DDmtb:10%	-0.1171	0.981523302454771	989.59	1050	933	932	1028	1008	79.37	86.89
devR	Rv3133c	two component transcriptional regulator DevR	hypoxia_hypoxic:16%; cholesterol:14%; ctl_stationary:10%	-0.0913	0.901126502067871	989.61	977	1165	1043	942	836	380.92	408.1
Rv3267	Rv3267	hypothetical protein	human_sputum:11%	-0.0938	0.909994617888854	991.68	960	1101	1032	1039	837	418.49	449.58
leuT	Rvnt03	tRNA-Leu	butyrate:12%; hypoxia_late:12%	-0.1517	0.997992416889061	1031.64	1160	755	1020	1073	1181	65.86	74.03
Rv0207c	Rv0207c	hypothetical protein	INDIGO_exponential:8%	-0.0944	0.905622307968768	996.72	951	1126	1065	1014	840	480.78	516.62
Rv3770c	Rv3770c	hypothetical protein	zinc_limitation:18%; hypoxia_late:12%	-0.1263	0.987229927343869	998.23	1126	997	1023	909	943	66.04	72.56
uspA	Rv2316	sugar ABC transporter permease UspA	hypoxia_late:35%; ctl_stationary:13%	-0.1465	0.997121884509963	1025.47	1117	733	1100	1057	1152	6.99	7.91
MT1571	MT1571	hypothetical protein	hypoxia_late:14%; ctl_stationary:14%	-0.1932	0.999570881679998	1064.43	1304	864	842	1100	1256	12.38	14.62
Rv2028c	Rv2028c	universal stress protein	cholesterol:17%; hypoxia_hypoxic:16%; ctl_stationary:13%	-0.1229	0.988050331517292	978.99	1113	872	1038	949	932	62.6	68.58
MT0066.2	MT0066.2	hypothetical protein	human_sputum:16%; hypoxia_hypoxic:13%	-0.1107	0.961431705236552	995.05	934	983	1008	1004	1048	201.33	218.65
mtc28	Rv0040c	hypothetical protein	tyloxopol:14%; hypoxia_hypoxic:13%	-0.0966	0.918498732332313	989.23	993	1117	1131	939	787	622.3	668.49
vapC39	Rv2530c	ribonuclease VapC39	INDIGO_exponential:12%	-0.1046	0.948261063544898	987.69	928	1024	970	1007	1011	147.94	160.16
mazE1	Rv0456B	antitoxin MazE1	ctl_stationary:14%; hypoxia_late:12%	-0.1334	0.993308539166411	990.05	923	789	806	1213	1270	34.39	38.24
metS	Rv1007c	methionine--tRNA ligase	zinc_limitation:8%	-0.097	0.919892661381394	987.25	970	1122	1107	897	855	108.43	116.63
Rv2227	Rv2227	hypothetical protein	tyloxopol:11%	-0.102	0.937584284394694	985.83	901	1033	943	1020	1036	86.86	93.94
Rv2288	Rv2288	hypothetical protein	acidic:12%	-0.1167	0.974709401580527	978.15	1033	961	1044	919	937	145.81	158.94
Rv0316	Rv0316	muconolactone isomerase	hypoxia_late:11%; tyloxopol:10%	-0.0939	0.897913933899817	964.11	949	1123	958	910	889	234.32	251.56
Rv3647c	Rv3647c	hypothetical protein	high_iron:11%	-0.0981	0.919443631227961	971.57	980	1066	1031	951	838	518.81	558.33
Rv1558	Rv1558	hypothetical protein	zinc_limitation:12%	-0.1025	0.931607592949515	976.22	958	1091	1015	918	905	232.18	250.72
lrpA	Rv3291c	transcriptional regulator LrpA	ctl_stationary:12%	-0.1231	0.983601895470969	968.31	1005	911	925	953	1051	55.86	61.3
Rv2509	Rv2509	short-chain type dehydrogenase/reductase	tyloxopol:10%	-0.0945	0.889425242750988	970.54	938	1139	1063	906	823	258.32	277.34
Rv1154c	Rv1154c	hypothetical protein	ctl_stationary:9%	-0.1276	0.982857572462406	978.35	1038	916	955	980	1005	44.54	49.03
Rv0030	Rv0030	hypothetical protein	hypoxia_late:10%; acidic_tyloxopol:10%	-0.1364	0.992918194746658	974.78	1124	866	941	927	1026	52.26	57.92
Rv0111	Rv0111	transmembrane acyltransferase	hypoxia_late:18%; human_sputum:13%	-0.0975	0.901957776960423	974.53	922	1115	1034	934	877	69.98	75.39
whiB3	Rv3416	redox-responsive transcriptional regulator WhiB3	nutrient_limitation:14%; hypoxia_rar:13%; hypoxia_hypoxic:11%	-0.1118	0.952599443492138	976.59	924	998	987	971	1004	142.71	155.19
Rv1869c	Rv1869c	reductase	INDIGO_exponential:13%; nutrient_limitation:10%	-0.1061	0.95531401654548	957.05	1068	978	985	988	779	615.38	666.92
tgs2	Rv3734c	diacyglycerol O-acyltransferase	acidic:16%; acidic_tyloxopol:12%	-0.1058	0.954799935484978	952.7	1078	1036	1060	837	774	142.38	153.99
tam	Rv0294	trans-aconitate methyltransferase	hypoxia_late:15%	-0.1094	0.947704977686139	974.23	873	987	895	1029	1096	37.25	40.55
fadD3	Rv3561	fatty-acid--CoA ligase FadD3	human_sputum:37%; hypoxia_late:23%	-0.1092	0.947245554134242	972.12	903	980	929	1006	1046	27.21	29.68
Rv0818	Rv0818	transcriptional regulator	microaerophilic:18%	-0.0962	0.892563266547613	968.19	932	1104	1007	985	824	457.95	492.75
yfiH	Rv2149c	laccase domain-containing protein	low_iron:8%	-0.0943	0.887939164624424	960.46	946	1120	961	935	850	280.8	301.73
Rv3377c	Rv3377c	type B diterpene cyclase	human_sputum:12%	-0.0994	0.919254416400186	957.58	974	1070	1059	885	813	121.08	130.45
Rv3688c	Rv3688c	hypothetical protein	ctl_exponential:8%	-0.1041	0.929830570399629	962.21	945	1042	1066	902	864	260.47	281.47
MT3290.2	MT3290.2	hypothetical protein	hypoxia_hypoxic:14%; hypoxia_rar:12%; PBS_RIF_DDmtb:10%	-0.1294	0.982173244335492	974	989	837	1006	996	1049	205.89	226.42
Rv0799c	Rv0799c	hypothetical protein	hypoxia_late:10%	-0.0981	0.902135048249989	961.61	914	1078	1005	916	901	118.81	127.94
Rv1742	Rv1742	hypothetical protein	ctl_stationary:16%; hypoxia_late:12%; human_sputum:11%	-0.1182	0.96532983441009	967.5	943	981	977	945	992	46.65	51.02
lpqN	Rv0583c	lipoprotein LpqN	ctl_exponential:12%; acidic:12%	-0.1164	0.96767340952559	957.4	1042	948	966	941	893	123.68	135.03
Rv0187	Rv0187	O-methyltransferase	hypoxia_late:11%	-0.1001	0.912625267671228	959.4	911	1052	942	962	933	155.67	168
Rv2568c	Rv2568c	hypothetical protein	hypoxia_late:10%	-0.1118	0.965769984769672	943.07	1037	992	936	850	906	59.23	64.45
vapC24	Rv0240	ribonuclease VapC24	low_iron:12%	-0.1043	0.921046516155053	962.54	893	1015	946	992	969	183.65	198.82
Rv0264c	Rv0264c	hypothetical protein	butyrate:13%; hypoxia_late:12%	-0.1096	0.934240161735083	965.24	872	964	918	1022	1056	73.07	79.54
sdhD	Rv3317	succinate dehydrogenase hydrophobic membrane anchor subunit	hypoxia_late:12%	-0.1129	0.951744995986115	959.54	917	979	951	943	1009	92.06	100.22
acrA1	Rv3391	acyl-CoA-reductase AcrA	hypoxia_late:17%; human_sputum:11%	-0.1041	0.928287721023966	949.1	927	1032	986	913	891	46.68	50.56
MT0915.1	MT0915.1	hypothetical protein	hypoxia_late:32%	-0.1901	0.998806740968231	1034.93	1268	882	981	994	1069	13.4	15.6
Rv3094c	Rv3094c	hypothetical protein	high_iron:17%; hypoxia_late:12%; INDIGO_exponential:10%	-0.109	0.932618582397747	952.59	929	976	964	984	911	92.78	100.88
Rv1118c	Rv1118c	hypothetical protein	tyloxopol:8%	-0.1093	0.936285589052269	950.05	935	1007	973	937	900	99.19	107.76
MT2988.1	MT2988.1	hypothetical protein	hypoxia_late:31%; ctl_stationary:18%	-0.2001	0.999827576653868	960.62	1128	460	597	1312	1543	9.1	11.14
Rv1639c	Rv1639c	hypothetical protein	acidic_tyloxopol:13%; butyrate:12%; butyrate_plus_glucose:10%	-0.0932	0.846150256207595	933.98	944	1129	1001	905	716	324.21	347.76
