GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	EV_ATC_RIF	EV_ATC_noDrug
recC	Rv0631c	exonuclease V subunit gamma RecC	hypoxia_late:47%	-0.1109	0.997337763233442	613.01	629	468	828	567	600	26.27	28.47
nuoM	Rv3157	NADH-quinone oxidoreductase subunit M	high_iron:16%; butyrate_plus_glucose:13%; tyloxopol:11%; INDIGO_exponential:11%	-0.1183	0.99684481378153	644.55	751	801	668	581	453	333.92	363.83
lipQ	Rv2485c	carboxylesterase LipQ	hypoxia_late:16%; butyrate:12%	-0.1244	0.99867200596719	621.16	698	577	628	571	636	39.81	43.71
Rv3633	Rv3633	hypothetical protein	acidic:19%; acidic_tyloxopol:16%	-0.1091	0.996300287393412	614.16	764	701	681	543	416	425.04	459.81
Rv3058c	Rv3058c	TetR family transcriptional regulator	human_sputum:10%	-0.1057	0.992866512624012	619.22	605	737	551	649	563	199.2	215.77
Rv3054c	Rv3054c	hypothetical protein	hypoxia_fatty_acids:43%; hypoxia_late:10%; ctl_stationary:10%	-0.1559	0.999763715972308	630.14	650	302	700	611	990	14.64	16.59
PPE26	Rv1789	PPE family protein PPE26	acidic:10%	-0.1003	0.991943422804088	612.12	676	720	688	559	441	288.48	309.91
Rv2348c	Rv2348c	hypothetical protein	human_sputum:16%; acidic:14%; ctl_exponential:11%	-0.1158	0.992357070695494	655.72	670	770	728	628	500	1050.74	1144.23
Rv1754c	Rv1754c	hypothetical protein	hypoxia_late:15%; tyloxopol:14%; ctl_stationary:11%	-0.1077	0.996377328410334	600.36	741	632	712	490	455	92.76	100.16
hsaC	Rv3568c	extradiol dioxygenase	hypoxia_fatty_acids:19%	-0.1075	0.989904741067787	642.17	572	811	611	634	596	115.73	125.36
rpsF	Rv0053	30S ribosomal protein S6	hypoxia_rar:12%; hypoxia_hypoxic:11%	-0.1053	0.98955687682295	627	566	683	640	638	611	347.13	374.87
rpsO	Rv2785c	30S ribosomal protein S15	INDIGO_exponential:10%	-0.144	0.99788417256843	685.7	702	565	781	597	800	830.02	925.7
Rv0526	Rv0526	thioredoxin	high_iron:14%; hypoxia_hypoxic:10%	-0.095	0.982325420977601	616.54	587	800	599	639	479	384.11	411.65
mce1R	Rv0165c	transcriptional regulator Mce1R	acidic_tyloxopol:14%	-0.1072	0.990981846379798	614.3	643	700	665	585	490	261.56	282.66
MT1025.3	MT1025.3	hypothetical protein	cholesterol:12%; zinc_limitation:10%	-0.1073	0.993688209764172	598.52	657	674	621	553	497	619.48	669.35
Rv1717	Rv1717	hypothetical protein	hypoxia_late:29%	-0.1532	0.999418800991079	631.67	610	467	396	717	1068	27.47	31.21
Rv3437	Rv3437	transmembrane protein	hypoxia_fatty_acids:8%	-0.1187	0.994169579274383	624.04	520	612	500	686	830	64.06	70.22
sigD	Rv3414c	ECF RNA polymerase sigma factor SigD	tyloxopol:11%	-0.1037	0.992817843543907	576.98	666	625	635	599	385	644.43	695.62
nuoI	Rv3153	NADH-quinone oxidoreductase subunit I	high_iron:15%; ctl_exponential:12%; INDIGO_exponential:11%	-0.1527	0.997335822466077	689.29	683	647	651	562	929	596.4	666.93
fadE35	Rv3797	acyl-CoA dehydrogenase FadE35	hypoxia_late:17%; butyrate_plus_glucose:15%	-0.1175	0.996434783771351	597.96	575	478	702	568	681	23.97	26.19
aroA	Rv3227	3-phosphoshikimate 1-carboxyvinyltransferase	PBS_RIF_DDmtb:26%; hypoxia_late:15%	-0.0965	0.984023782940076	596.7	549	657	666	591	527	100.17	107.41
rpsM	Rv3460c	30S ribosomal protein S13	tyloxopol:8%	-0.1404	0.993144093577057	687.91	570	508	819	646	942	944.9	1048.48
yrbE2B	Rv0588	hypothetical protein	hypoxia_fatty_acids:22%; microaerophilic:13%	-0.1082	0.989981857264677	604.05	600	744	568	620	501	186.77	202.66
ctpI	Rv0107c	cation-transporter ATPase I	zinc_limitation:13%; hypoxia_late:10%	-0.0939	0.986095317975787	574.19	637	652	653	588	370	122.75	131.38
MT2837	MT2837	hypothetical protein	hypoxia_late:41%	-0.1983	0.999841851943482	648.69	766	366	595	610	989	16.02	18.96
Rv0519c	Rv0519c	membrane protein	hypoxia_late:16%	-0.0954	0.981313323950263	587.64	552	678	604	602	509	164.4	176.16
Rv0887c	Rv0887c	hypothetical protein	low_iron:21%; PBS_RIF_DDmtb:13%	-0.141	0.998481343956579	608.61	579	489	479	667	868	37.06	41.48
embA	Rv3794	arabinosyltransferase A	hypoxia_late:11%; high_iron:11%; tyloxopol:10%	-0.0919	0.971277315013782	580.53	561	709	662	598	399	253.42	270.63
Rv3108	Rv3108	hypothetical protein	hypoxia_late:15%; ctl_stationary:11%	-0.141	0.997851442392363	619.37	545	483	511	693	911	40.53	45.38
aofH	Rv3170	flavin-containing monoamine oxidase	hypoxia_late:15%	-0.0992	0.982409835144994	584.92	490	621	522	629	673	52.09	56.1
pepD	Rv0983	serine protease PepD	microaerophilic:20%; hypoxia_fatty_acids:12%	-0.1189	0.994583696499347	593.28	696	681	620	565	426	487.3	531.29
clpP2	Rv2460c	ATP-dependent CLP protease proteolytic subunit 2	human_sputum:9%	-0.1141	0.989344198789607	605.58	634	757	634	590	436	710.55	772.4
bpoB	Rv1123c	peroxidase BpoB	hypoxia_late:9%	-0.0974	0.973359347365427	592.41	493	721	564	666	533	164.91	177.56
Rv0666	Rv0666	membrane protein	hypoxia_late:25%; ctl_stationary:13%	-0.1885	0.999768266095985	628.43	731	345	507	659	995	38.73	45.02
sdhB	Rv3319	succinate dehydrogenase iron-sulphur protein subunit	human_sputum:12%; tyloxopol:10%	-0.112	0.991264384635454	581.49	582	601	615	607	506	158.03	171.96
serA1	Rv2996c	D-3-phosphoglycerate dehydrogenase	zinc_limitation:11%	-0.1066	0.986236942551735	586.59	611	768	582	589	411	349.29	377.57
Rv3591c	Rv3591c	hydrolase	hypoxia_late:28%; PBS_RIF_DDmtb:10%	-0.1489	0.998565171903923	607.12	621	496	556	577	807	20.29	22.78
Rv2857c	Rv2857c	short-chain type dehydrogenase/reductase	hypoxia_late:10%	-0.1296	0.99438883738692	614.1	687	579	669	584	557	172.53	189.67
ripA	Rv1477	peptidoglycan endopeptidase RipA	high_iron:14%; tyloxopol:13%; hypoxia_hypoxic:11%; INDIGO_exponential:11%	-0.1163	0.990124324318777	595.89	624	742	609	594	432	588.12	640.68
ilvN	Rv3002c	acetolactate synthase small subunit	hypoxia_rar:11%	-0.1322	0.991457164620133	633.81	595	635	709	652	582	222.23	245.55
bcpB	Rv1608c	peroxiredoxin	tyloxopol:11%	-0.1038	0.978282746184911	583.61	518	710	521	624	556	264.13	285.36
MT2455	MT2455	hypothetical protein	hypoxia_rar:14%	-0.1652	0.999084281135799	633.79	625	519	583	593	876	57.91	65.64
PE4	Rv0160c	PE family protein PE4	hypoxia_late:42%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	-0.149	0.998388118160934	601.74	546	405	671	544	896	6.81	7.76
esxR	Rv3019c	ESAT-6 like protein EsxR	microaerophilic:23%; hypoxia_late:14%	-0.1554	0.997667569875123	635	620	531	623	578	844	58.27	65.62
purC	Rv0780	phosphoribosylaminoimidazole-succinocarboxamide synthase	hypoxia_late:10%	-0.1294	0.995032025414547	594.81	607	645	585	587	552	75.98	83.99
Rv3134c	Rv3134c	universal stress protein	cholesterol:21%; hypoxia_hypoxic:14%; nutrient_limitation:12%	-0.1395	0.990554546609161	645.68	554	590	664	623	812	262.59	291.97
Rv0295c	Rv0295c	hypothetical protein	tyloxopol:10%	-0.1042	0.988122970438842	549.11	586	554	652	526	439	221.98	239.2
mazF4	Rv1495	mRNA interferase MazF4	hypoxia_late:13%	-0.1419	0.996387504812408	612.62	641	557	658	534	680	89.41	99.24
nrdE	Rv3051c	ribonucleoside-diphosphate reductase subunit alpha	low_iron:8%	-0.1261	0.989761817438519	607.71	598	741	645	619	454	707.54	777.52
fadH	Rv1175c	NADPH dependent 2,4-dienoyl-CoA reductase FadH	hypoxia_rar:8%	-0.0907	0.953124998388436	555.41	542	767	430	630	442	162.13	173.32
Rv2765	Rv2765	hydrolase	hypoxia_late:18%	-0.137	0.997476220166961	578.36	564	474	508	573	798	27.93	31.04
qor	Rv1454c	quinone reductase	low_iron:8%	-0.1164	0.993098624291289	554.95	694	606	670	447	392	201.1	218.5
MT0325	MT0325	hypothetical protein	tyloxopol:14%; hypoxia_late:12%	-0.3288	0.999908073397943	675.77	850	374	535	697	1021	13.14	18.85
mftB	Rv0692	mycofactocin system protein MftB	nutrient_limitation:17%; tyloxopol:14%	-0.0944	0.954043349888643	570.59	516	781	527	655	409	2862.57	3068.48
Rv0883c	Rv0883c	hypothetical protein	hypoxia_late:9%	-0.1364	0.995193823046061	596.19	636	547	679	606	520	168.97	187.23
Rv1678	Rv1678	integral membrane protein	hypoxia_late:14%	-0.1208	0.990888276073909	578.71	628	686	622	487	485	121.17	132.22
purN	Rv0956	phosphoribosylglycinamide formyltransferase PurN	hypoxia_rar:9%	-0.1195	0.987751035701847	592.79	533	603	597	558	678	69.93	76.33
kstR2	Rv3557c	HTH-type transcriptional regulator KstR2	human_sputum:40%	-0.1083	0.980835304832207	571.64	472	622	383	657	766	74.38	80.73
Rv3226c	Rv3226c	hypothetical protein	PBS_RIF_DDmtb:22%; zinc_limitation:11%	-0.1083	0.983796887906204	564.11	481	540	612	592	601	97.26	105.29
cobK	Rv2070c	precorrin-6A reductase	tyloxopol:14%; hypoxia_late:11%	-0.1113	0.986031216968073	564.77	530	588	587	549	571	102.28	110.95
Rv1863c	Rv1863c	integral membrane protein	acidic:10%	-0.1274	0.991145778690899	592.64	660	668	684	525	446	548.49	600.98
Rv1322A	Rv1322A	hypothetical protein	human_sputum:11%; INDIGO_exponential:10%	-0.1126	0.983294379535389	577.62	597	707	606	580	418	2867.44	3112.82
echA18	Rv3373	enoyl-CoA hydratase	hypoxia_late:16%	-0.1279	0.992276558108473	583.69	599	653	575	566	529	127.04	139.61
Rv3814c	Rv3814c	acyltransferase	microaerophilic:11%	-0.134	0.990224379002618	606.93	627	756	650	538	482	201.5	222.24
MTS1310	MTS1310	small intergenic RNA	hypoxia_late:17%; ctl_exponential:11%	-0.1392	0.992555801099883	597.44	581	580	591	603	633	178.12	197.61
vapC36	Rv1982c	ribonuclease VapC36	human_sputum:14%	-0.1411	0.997106286886256	569.63	591	538	444	576	716	63.3	70.43
mkl	Rv0655	ribonucleotide ABC transporter ATP-binding protein	INDIGO_exponential:9%	-0.1113	0.969429712772969	572.96	517	735	593	616	427	970.62	1054.17
Rv3440c	Rv3440c	hypothetical protein	hypoxia_late:16%	-0.1388	0.997466095842517	548.29	578	369	644	518	660	118.18	130.58
Rv2054	Rv2054	hypothetical protein	human_sputum:10%	-0.1481	0.996981043442911	580.5	704	711	578	492	443	233.03	259.99
gadB	Rv3432c	glutamate decarboxylase GadB	hypoxia_late:16%	-0.1112	0.977848258914925	552.8	489	620	480	574	609	49.98	54.28
eccD3	Rv0290	ESX-3 secretion system protein EccD	microaerophilic:42%; zinc_limitation:12%; low_iron:10%	-0.1206	0.988408315931323	563.41	615	717	592	529	391	579.42	632.37
desA2	Rv1094	acyl-ACP desaturase DesA	INDIGO_exponential:12%	-0.1314	0.984124125601071	601.66	556	643	716	627	480	1452.41	1601.57
espG3	Rv0289	ESX-3 secretion-associated protein EspG3	microaerophilic:27%; zinc_limitation:13%; cholesterol:13%	-0.1059	0.958295407179359	555.3	510	734	559	586	412	1221.59	1319.25
Rv3706c	Rv3706c	hypothetical protein	human_sputum:13%; ctl_exponential:11%; acidic_tyloxopol:10%	-0.1737	0.998701295923847	596.25	724	584	552	521	610	64.33	73.46
moaA1	Rv3109	cyclic pyranopterin monophosphate synthase	hypoxia_late:48%; ctl_stationary:13%	-0.1574	0.998348065510844	569.68	547	414	425	608	920	8.35	9.6
Rv2387	Rv2387	hypothetical protein	human_sputum:11%	-0.141	0.994844203017064	565.17	632	619	555	535	491	74.67	83.21
Rv2237	Rv2237	hypothetical protein	acidic_tyloxopol:10%	-0.1062	0.967955379003581	540.71	446	604	496	609	558	121.63	131.64
Rv3717	Rv3717	hypothetical protein	tyloxopol:16%	-0.1072	0.964314490425084	548.23	524	713	542	563	419	341.23	368.99
oppB	Rv1283c	oligopeptide ABC transporter permease OppB	hypoxia_late:10%	-0.113	0.97381202327196	550.85	485	679	490	569	542	92.98	101.08
mas	Rv2940c	multifunctional mycocerosic acid synthase	zinc_limitation:11%; hypoxia_rar:11%	-0.1071	0.961931092908363	544.94	526	702	560	557	401	562.69	608.02
Rv1220c	Rv1220c	methyltransferase	hypoxia_late:15%	-0.1046	0.964080913940179	530.39	515	627	540	561	420	339.76	366.71
dprE1	Rv3790	decaprenylphosphoryl-beta-D-ribose oxidase	hypoxia_late:10%	-0.1064	0.969845207204218	528.65	501	596	550	519	481	90.06	97.3
rpsA	Rv1630	30S ribosomal protein S1	INDIGO_exponential:9%	-0.1188	0.980292962002555	550.34	573	655	576	545	417	1121.49	1223.15
Rv0543c	Rv0543c	hypothetical protein	high_iron:9%	-0.1015	0.951819150345583	536.98	475	708	443	605	476	567.19	611.7
mpr12	Rvnc0016	fragment of putative small regulatory RNA	human_sputum:12%	-0.2134	0.99978171512751	567.9	609	197	428	670	1147	30.32	36.64
MT0012	MT0012	hypothetical protein	tyloxopol:15%; butyrate_plus_glucose:12%; high_iron:10%	-0.1291	0.992321140633342	531.54	682	597	605	428	378	1003.79	1100.98
lppU	Rv2784c	lipoprotein LppU	acidic_tyloxopol:11%	-0.1242	0.979410940726638	563.14	513	631	574	548	553	148.98	163.11
Rv1576c	Rv1576c	phage capsid protein	microaerophilic:54%	-0.1226	0.978258921527069	556.98	488	685	537	572	513	78.31	85.95
Rv2700	Rv2700	hypothetical protein	tyloxopol:10%	-0.129	0.992733596600662	522.16	630	534	538	488	431	160.66	176.72
MT3280	MT3280	hypothetical protein	ctl_exponential:10%; zinc_limitation:10%	-0.1463	0.989928776061688	577.76	577	672	598	554	495	656.36	732.23
Rv1697	Rv1697	hypothetical protein	high_iron:14%; INDIGO_exponential:13%; tyloxopol:11%	-0.1302	0.984238556631632	561.76	567	719	586	564	397	678.12	746.74
Rv1435c	Rv1435c	hypothetical protein	cholesterol:16%; ctl_exponential:12%	-0.1204	0.989467843065355	516.11	559	383	762	504	413	1236.56	1345.31
Rv3683	Rv3683	hypothetical protein	PBS_RIF_DDmtb:8%	-0.1339	0.989916260305942	542.78	596	610	579	499	440	142.83	157.66
Rv2507	Rv2507	hypothetical protein	low_iron:10%	-0.1293	0.986206129481783	545.32	553	641	548	505	486	108.18	118.93
csm3	Rv2821c	CRISPR type III-associated RAMP protein Csm3	human_sputum:11%	-0.1582	0.988811195312249	613.29	583	469	783	621	631	69.9	78.79
stp	Rv2333c	multidrug resistance protein	hypoxia_late:14%	-0.1145	0.976756981766911	522.44	455	511	566	507	578	38.88	42.3
MT1234	MT1234	fragment of putative small regulatory RNA	hypoxia_hypoxic:16%; hypoxia_rar:13%	-0.1818	0.996247818057279	615.43	616	639	553	468	829	1142.86	1305.65
eccB3	Rv0283	ESX-3 secretion system protein EccB3	microaerophilic:45%; zinc_limitation:15%	-0.0963	0.931895981234661	513.83	477	648	534	600	340	521	558.93
MT2803.1	MT2803.1	hypothetical protein	hypoxia_late:18%; PBS_RIF_DDmtb:12%	-0.2503	0.999819562722524	571.21	608	155	614	641	1043	34.45	41.98
ftsW	Rv2154c	lipid II flippase FtsW	microaerophilic:14%	-0.115	0.958761488240961	540.26	525	670	625	514	390	401.42	435.86
MT3653.1	MT3653.1	hypothetical protein	human_sputum:32%; hypoxia_late:14%; butyrate:13%	-0.234	0.99972206590125	572.61	738	269	370	625	1014	31.3	38.43
groEL1	Rv3417c	chaperonin GroEL	microaerophilic:22%; hypoxia_fatty_acids:13%	-0.109	0.951980848230801	527.91	500	684	562	532	384	804.11	869.91
Rv0875c	Rv0875c	hypothetical protein	microaerophilic:19%	-0.1459	0.990456804194476	550.13	538	521	567	537	589	100.27	111.9
Rv3742c	Rv3742c	oxidoreductase	nutrient_limitation:58%; PBS_RIF_DDmtb:21%	-0.1534	0.994379843215687	548.58	529	412	638	506	679	61.4	68.95
Rv0759c	Rv0759c	hypothetical protein	acidic_tyloxopol:11%	-0.1308	0.984987879886364	538.65	560	613	571	486	470	283	311
glyT	Rvnt32	tRNA-Gly	zinc_limitation:30%; human_sputum:23%; hypoxia_late:15%	-0.1822	0.999294828795185	536.73	606	318	536	485	796	101.37	116.12
moeA1	Rv0994	molybdopterin molybdenumtransferase 1	microaerophilic:9%	-0.1005	0.934162307492693	507.84	460	633	557	552	360	338.16	363.64
Rv3243c	Rv3243c	hypothetical protein	PBS_RIF_DDmtb:12%	-0.1263	0.973608469373049	541.73	479	630	573	522	511	98.38	107.94
MT1924.1	MT1924.1	hypothetical protein	human_sputum:40%; hypoxia_hypoxic:13%; low_iron:10%	-0.172	0.998260321421129	538.07	580	362	589	517	669	84.59	96.43
MT3767.1	MT3767.1	hypothetical protein	PBS_RIF_DDmtb:12%; hypoxia_late:11%	-0.1551	0.994313008266298	541.09	457	417	398	613	888	33.6	37.98
MT2401.2	MT2401.2	hypothetical protein	human_sputum:16%	-0.1678	0.997204661920736	542.67	540	454	426	540	787	73.68	83.8
Rv0999	Rv0999	hypothetical protein	high_iron:8%	-0.105	0.945442516683798	497.77	448	585	460	541	462	187.35	202.29
MT3284	MT3284	hypothetical protein	butyrate_plus_glucose:14%; hypoxia_late:14%; tyloxopol:13%	-0.156	0.995188823990412	534.89	435	348	332	690	1001	47.49	53.73
mftF	Rv0696	mycofactocin biosynthesis glycosyltransferase MftF	acidic:16%; acidic_tyloxopol:14%	-0.1257	0.974628612717081	525.44	558	656	588	467	381	150.66	164.98
yrbE4A	Rv3501c	integral membrane protein	hypoxia_late:14%	-0.125	0.974480433598555	524.82	447	570	462	556	598	73.47	80.74
Rv1353c	Rv1353c	HTH-type transcriptional regulator	hypoxia_late:14%; acidic_tyloxopol:12%	-0.1503	0.993595517951165	525.92	512	439	439	536	728	26.13	29.42
Rv1706A	Rv1706A	hypothetical protein	microaerophilic:39%; hypoxia_fatty_acids:22%; ctl_stationary:12%	-0.4715	0.9996685951657	621.84	1012	416	377	583	836	6.04	10.19
Rv3136A	Rv3136A	hypothetical protein	zinc_limitation:21%; hypoxia_rar:10%	-0.1218	0.972026877641835	510.89	548	623	547	477	377	905.05	987.74
Rv2258c	Rv2258c	transcriptional regulator	zinc_limitation:14%; high_iron:10%	-0.1035	0.928992223969081	481.03	474	594	523	513	324	432.55	465.82
pra	Rv1078	hypothetical protein	tyloxopol:10%; ctl_exponential:10%	-0.1069	0.919846718468664	503.49	452	693	497	546	359	1107.49	1196.64
ufaA1	Rv0447c	cyclopropane-fatty-acyl-phospholipid synthase UfaA	PBS_RIF_DDmtb:25%; hypoxia_late:13%	-0.1319	0.986804469537113	503.63	536	536	451	480	518	45.6	50.29
fadE4	Rv0231	acyl-CoA dehydrogenase FadE4	hypoxia_late:10%	-0.1182	0.968458812211578	493.93	453	494	594	478	457	62.73	68.38
Rv0508	Rv0508	hypothetical protein	tyloxopol:11%	-0.1159	0.953956017493881	504.13	424	589	368	560	603	228.72	249.13
Rv1957	Rv1957	SecB-like chaperone	hypoxia_fatty_acids:14%	-0.168	0.994695701184745	539.52	541	420	572	510	670	38.19	43.61
PE32	Rv3622c	PE family protein PE32	hypoxia_late:45%; human_sputum:16%; ctl_stationary:11%	-0.2266	0.99964325259757	530.04	613	239	422	501	1022	13.6	16.65
Rv1939	Rv1939	oxidoreductase	hypoxia_late:18%; microaerophilic:16%	-0.1735	0.997958263712989	517.19	506	317	458	531	839	20.18	23.19
Rv2060	Rv2060	integral membrane protein	hypoxia_rar:9%	-0.1365	0.984569860702722	513.79	584	573	596	445	389	319.6	352.85
Rv2923c	Rv2923c	hypothetical protein	hypoxia_late:11%	-0.1331	0.986546969274781	491.7	497	445	475	474	572	116.53	128.62
rslA	Rv0736	anti-sigma-L factor RslA	hypoxia_late:21%; PBS_RIF_DDmtb:20%; nutrient_limitation:16%	-0.1545	0.990501908757926	527.42	508	451	539	500	649	36.05	40.61
MT2589.1	MT2589.1	hypothetical protein	nutrient_limitation:12%	-0.1751	0.995580061324918	539.42	593	450	543	542	575	127.48	145.89
Rv1230c	Rv1230c	membrane protein	butyrate_plus_glucose:9%	-0.1197	0.969705519893206	476.16	550	556	532	411	351	140.78	153.41
PE_PGRS1	Rv0109	PE-PGRS family protein PE_PGRS1	hypoxia_late:43%	-0.1435	0.988998949233139	498.49	494	466	402	498	648	19.96	22.38
Rv2957	Rv2957	PGL/p-HBAD biosynthesis glycosyltransferase	INDIGO_exponential:10%; hypoxia_late:10%	-0.166	0.993055064351293	532.24	601	407	655	528	488	56.12	63.78
Rv0434	Rv0434	hypothetical protein	human_sputum:11%	-0.1178	0.957279757962213	485.43	440	515	545	454	477	147.93	160.95
Rv3055	Rv3055	TetR family transcriptional regulator	hypoxia_late:15%	-0.1475	0.987367663390766	514.38	429	436	367	575	822	30.51	34.29
rpsG	Rv0683	30S ribosomal protein S7	human_sputum:9%	-0.126	0.966065209920002	495.57	522	605	520	508	343	1780.98	1953.25
Rv3718c	Rv3718c	hypothetical protein	tyloxopol:12%; human_sputum:11%	-0.1349	0.983898077737841	485.44	523	444	584	419	466	170.21	187.36
fadD9	Rv2590	fatty-acid--CoA ligase FadD9	nutrient_limitation:34%; butyrate_plus_glucose:17%; PBS_RIF_DDmtb:12%	-0.1145	0.928264628222686	482.71	445	660	483	523	332	216.05	235.08
mbtD	Rv2381c	polyketide synthetase	low_iron:49%; hypoxia_late:11%; human_sputum:11%	-0.1172	0.957469105180531	470.63	443	495	525	443	450	33.61	36.65
mutA	Rv1492	methylmalonyl-CoA mutase small subunit	hypoxia_late:14%; hypoxia_fatty_acids:10%	-0.1242	0.956337869923944	490.7	439	611	446	502	465	53.54	58.77
vapC17	Rv2527	ribonuclease VapC17	human_sputum:18%; hypoxia_late:10%	-0.1504	0.983695650727577	521.4	539	546	569	453	504	118.09	131.82
Rv0653c	Rv0653c	transcriptional regulator	high_iron:13%; tyloxopol:12%	-0.1315	0.969642476196278	491.5	504	564	549	472	380	220.77	243.2
mprA	Rv0981	two-component response regulator MrpA	nutrient_limitation:13%	-0.1214	0.949933332941144	489.91	444	618	463	511	425	235.61	257.83
Rv0789c	Rv0789c	hypothetical protein	hypoxia_fatty_acids:22%	-0.1541	0.984859754286622	525	507	472	531	539	579	72.26	81.24
MT0116.1	MT0116.1	hypothetical protein	acidic_tyloxopol:23%; butyrate_plus_glucose:14%; butyrate:12%; low_iron:12%; tyloxopol:11%	-0.1578	0.989368445840976	520.88	499	435	514	547	618	265.82	299.91
hsaA	Rv3570c	flavin-dependent monooxygenase oxygenase subunit HsaA	hypoxia_fatty_acids:25%; human_sputum:13%	-0.1163	0.944613240327687	470.64	461	574	504	455	371	141.74	154.15
MT2246	MT2246	hypothetical protein	zinc_limitation:43%; hypoxia_late:12%	-0.1625	0.993345120020004	495.79	456	339	519	520	675	74.54	84.44
Rv3204	Rv3204	DNA-methyltransferase	PBS_RIF_DDmtb:9%	-0.1525	0.98809578895839	500.03	509	513	441	481	560	132.38	148.2
MT0576	MT0576	hypothetical protein	hypoxia_late:19%; ctl_stationary:12%	-0.3	0.999831390838257	498.13	612	99	241	699	1221	8.09	11.21
dacB2	Rv2911	penicillin-binding protein DacB2	hypoxia_fatty_acids:14%; PBS_RIF_DDmtb:11%; hypoxia_late:10%	-0.1147	0.934279577750965	462.73	400	503	478	475	461	122.92	133.62
Rv3057c	Rv3057c	short chain alcohol dehydrogenase/reductase	acidic:10%	-0.127	0.967495166294163	468.59	470	516	495	464	402	129.68	142.4
glbN	Rv1542c	hemoglobin GlbN	hypoxia_late:13%; ctl_stationary:12%; PBS_RIF_DDmtb:11%	-0.1601	0.99442021893968	476.26	466	301	486	461	711	41.66	46.96
prrA	Rv0903c	two component transcriptional regulator PrrA	cholesterol:11%	-0.1333	0.968825790990544	480.91	519	599	494	457	353	293.2	323.23
irtA	Rv1348	iron ABC transporter ATP-binding protein/permease IrtA	low_iron:25%; hypoxia_late:12%	-0.1135	0.927928347381865	461.41	412	555	375	489	487	34.93	38.02
rpsI	Rv3442c	30S ribosomal protein S9	hypoxia_rar:10%	-0.1092	0.894540009584661	460.68	438	642	416	512	325	871.03	942.66
fadD13	Rv3089	long chain-fatty-acid--CoA ligase FadD13	hypoxia_late:11%; nutrient_limitation:10%	-0.1332	0.97033092864303	472.22	426	484	461	494	498	39.96	44.24
moeA2	Rv0438c	molybdopterin molybdenumtransferase	hypoxia_late:12%	-0.1203	0.922483610349251	478.13	410	609	498	458	428	103.45	112.89
Rv0654	Rv0654	carotenoid cleavage oxygenase	hypoxia_fatty_acids:50%	-0.1174	0.941763200553649	461.9	399	497	403	493	525	46.43	50.66
Rv1533	Rv1533	monooxygenase	hypoxia_fatty_acids:17%; nutrient_limitation:12%	-0.1247	0.963951537626471	453.99	514	506	533	408	327	168.3	184.11
mmpS2	Rv0506	membrane protein MmpS2	tyloxopol:10%	-0.1383	0.974360107471545	470.27	459	526	417	495	458	192.36	213.66
priA	Rv1402	primosomal protein N'	hypoxia_late:31%	-0.122	0.945501863063618	462.21	432	476	600	409	407	59.28	64.68
csm4	Rv2820c	CRISPR type III-associated RAMP protein Csm4	hypoxia_late:16%	-0.1356	0.969750484102515	465.69	422	463	423	466	561	50.2	55.56
Rv0744c	Rv0744c	transcriptional regulator	hypoxia_late:20%; ctl_stationary:12%	-0.1567	0.986846262208349	488.09	469	424	493	471	591	60.18	67.78
purD	Rv0772	phosphoribosylamine--glycine ligase	hypoxia_late:14%	-0.1342	0.978354849480077	453.46	502	430	517	403	421	67.87	74.77
Rv3780	Rv3780	hypothetical protein	tyloxopol:8%	-0.1152	0.906181168809319	456.04	414	583	450	470	376	345.6	375.91
Rv0913c	Rv0913c	dioxygenase	hypoxia_late:10%	-0.1285	0.96577569170596	448.02	471	480	465	460	369	85.26	93.89
lpqC	Rv3298c	esterase LpqC	hypoxia_late:14%	-0.1326	0.971671143650568	450.47	476	475	420	459	424	104.36	115.22
pheS	Rv1649	phenylalanine--tRNA ligase subunit alpha	hypoxia_late:10%	-0.113	0.898711170766627	447.31	420	575	414	465	375	174.24	189.22
Rv3023c	Rv3023c	transposase	low_iron:10%	-0.188	0.989463813909493	529.31	535	499	510	384	750	154.9	177.65
Rv1684	Rv1684	hypothetical protein	human_sputum:8%	-0.1542	0.984368974573651	472.45	473	462	415	469	548	179.66	201.31
htdX	Rv0241c	3-hydroxyacyl-thioester dehydratase HtdX	low_iron:16%; high_iron:12%	-0.1147	0.902544883957055	446.51	396	543	437	483	383	208.99	227.57
Rv0185	Rv0185	hypothetical protein	zinc_limitation:17%; PBS_RIF_DDmtb:16%	-0.1202	0.941331083978309	445.61	464	539	477	398	361	313.24	341.26
htpG	Rv2299c	chaperone protein HtpG	tyloxopol:8%	-0.1298	0.953790605184645	458.26	503	587	472	449	305	273.64	300.74
efp	Rv2534c	elongation factor P	low_iron:9%	-0.1513	0.982460039740555	466.57	555	530	485	437	342	349.5	390.86
mmr	Rv3065	multidrug resistance protein Mmr	hypoxia_fatty_acids:13%; hypoxia_late:13%; microaerophilic:13%	-0.144	0.973281634907366	462.6	376	378	297	582	748	62.28	69.47
rubB	Rv3250c	rubredoxin RubB	nutrient_limitation:41%; PBS_RIF_DDmtb:18%	-0.1938	0.989316649520888	531.61	527	481	492	424	763	602.05	694.27
canA	Rv1284	beta-carbonic anhydrase	acidic_tyloxopol:18%	-0.1622	0.986412641943773	478.36	391	381	456	491	705	38.6	43.68
