GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv1473A_ATC_noDrug	Rv1473A_DMSO_noDrug
Rv0071	Rv0071	maturase	hypoxia_late:17%; ctl_stationary:14%	-0.0872	0.999733319212803	1305.81	1166	1364	1217	1325	1468	27.81	29.99
Rv2288	Rv2288	hypothetical protein	acidic:12%	-0.0904	0.999858503119322	1285.01	1260	1333	1228	1263	1343	76.45	82.28
Rv0939	Rv0939	bifunctional 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase/cyclase/dehydrase	microaerophilic:21%	-0.0805	0.999558054491316	1283.43	1277	1491	1245	1313	1106	197.35	210.38
proB	Rv2439c	glutamate 5-kinase protein	hypoxia_late:18%	-0.0923	0.999807679809486	1318.39	1362	1517	1306	1217	1202	139.39	149.87
Rv2944	Rv2944	insertion sequence element IS1533 transposase	hypoxia_late:12%	-0.1126	0.999930461842334	1356.47	1791	1267	1258	1204	1301	60.85	66.57
Rv3836	Rv3836	hypothetical protein	PBS_RIF_DDmtb:12%; ctl_stationary:11%	-0.0862	0.999534201509475	1320.95	1195	1529	1241	1300	1352	88.78	95.16
cut1	Rv1758	cutinase	hypoxia_late:36%; ctl_stationary:23%; PBS_RIF_DDmtb:14%	-0.1288	0.999986068799212	1332.63	1614	1117	1294	1129	1549	3.51	4.03
tesB1	Rv1618	acyl-CoA thioesterase TesB	tyloxopol:9%	-0.082	0.999501354363192	1286.96	1261	1513	1275	1266	1134	184.02	196.44
coaA	Rv1092c	pantothenate kinase	hypoxia_late:11%	-0.0891	0.999857771359094	1272.34	1364	1296	1283	1223	1199	120.72	129.65
pks12	Rv2048c	polyketide synthase	hypoxia_late:11%	-0.0906	0.999621190921707	1331.77	1272	1465	1387	1298	1243	259.93	279.06
Rv0528	Rv0528	transmembrane protein	high_iron:13%; hypoxia_late:10%	-0.0884	0.999566879491335	1308.72	1289	1345	1439	1239	1237	363.47	389.48
Rv3813c	Rv3813c	hypothetical protein	hypoxia_late:11%	-0.0823	0.999639227696044	1267.83	1234	1347	1270	1268	1222	127.92	136.55
Rv3228	Rv3228	hypothetical protein	nutrient_limitation:26%; PBS_RIF_DDmtb:25%	-0.0983	0.999824059535292	1319.8	1173	796	1551	1513	1673	178.67	193.33
MT3921	MT3921	hypothetical protein	hypoxia_late:12%	-0.1024	0.999912511376061	1298.28	1497	1286	1176	1159	1389	77.59	83.99
Rv2851c	Rv2851c	GCN5-like N-acetyltransferase	microaerophilic:23%	-0.0787	0.998679498519363	1295.02	1168	1597	1247	1318	1168	304.71	324.37
Rv2957	Rv2957	PGL/p-HBAD biosynthesis glycosyltransferase	INDIGO_exponential:10%; hypoxia_late:10%	-0.0909	0.99985436913647	1268.93	1307	1304	1278	1210	1247	90.28	97.22
Rv1060	Rv1060	hypothetical protein	ctl_exponential:10%	-0.0848	0.999505068737819	1284.18	1214	1483	1240	1251	1242	192.23	205.85
MT2330.1	MT2330.1	hypothetical protein	hypoxia_late:16%; hypoxia_hypoxic:10%; ctl_stationary:10%	-0.1248	0.999988055871051	1276.18	1376	870	1203	1365	1632	26.87	30.2
sugC	Rv1238	sugar ABC transporter ATP-binding protein SugC	PBS_RIF_DDmtb:9%	-0.09	0.999884670434848	1244.6	1291	1136	1319	1235	1246	81.05	87.05
Rv3322c	Rv3322c	methyltransferase	human_sputum:18%; hypoxia_late:13%	-0.0996	0.999884991853133	1282.21	1318	1394	1216	1197	1291	47.94	51.97
lipD	Rv1923	lipase LipD	human_sputum:9%	-0.0822	0.999529840730835	1265.27	1185	1303	1314	1303	1224	138.74	148.19
mce2F	Rv0594	Mce family protein Mce2F	PBS_RIF_DDmtb:13%; hypoxia_late:13%	-0.0875	0.999379794096494	1298.76	1160	1542	1238	1276	1293	32.17	34.59
PPE8	Rv0355c	PPE family protein PPE8	hypoxia_late:23%; ctl_stationary:15%; human_sputum:11%	-0.0833	0.999624862825623	1256.47	1237	1343	1297	1269	1141	23.21	24.86
Rv0324	Rv0324	transcriptional regulator	hypoxia_fatty_acids:20%; hypoxia_late:16%; ctl_stationary:12%	-0.1009	0.999842868741881	1294.44	1415	1162	1495	1152	1266	50.4	54.56
Rv2451	Rv2451	hypothetical protein	hypoxia_rar:24%; human_sputum:15%; hypoxia_late:10%	-0.0969	0.999880270243172	1270.22	1167	805	1513	1447	1500	146.86	158.85
mmpL3	Rv0206c	transmembrane transport protein MmpL3	high_iron:8%	-0.0879	0.999465883053223	1287.54	1251	1568	1255	1265	1119	685.73	734.76
PE_PGRS29	Rv1468c	PE-PGRS family protein PE_PGRS29	hypoxia_late:16%; microaerophilic:14%	-0.0864	0.999522710080656	1278.95	1252	1449	1292	1241	1169	112.07	120.01
htrA	Rv1223	serine protease HtrA	PBS_RIF_DDmtb:13%	-0.0863	0.999389705382243	1285.43	1240	1526	1291	1255	1131	548.97	587.47
cmaA1	Rv3392c	cyclopropane mycolic acid synthase CmaA	hypoxia_late:12%; tyloxopol:10%	-0.0906	0.999807032104519	1265.35	1239	1277	1264	1259	1288	47.52	51.14
PE14	Rv1214c	PE family protein PE14	hypoxia_late:14%	-0.0979	0.999900064267622	1265.61	1288	1142	1287	1222	1396	76.01	82.51
echA14	Rv2486	enoyl-CoA hydratase EchA14	hypoxia_late:16%	-0.1006	0.999883971195827	1278.85	1377	1349	1244	1200	1229	77.53	83.99
vapC8	Rv0665	ribonuclease VapC8	hypoxia_late:15%; ctl_stationary:10%	-0.0964	0.9998068948499	1281.79	1308	1293	1345	1133	1336	52.9	56.95
lpdA	Rv3303c	NAD(P)H quinone reductase LpdA	hypoxia_late:10%	-0.0918	0.999664975223551	1280.44	1283	1519	1256	1207	1152	109.83	118.08
MT3954	MT3954	hypothetical protein	hypoxia_late:40%; ctl_stationary:17%; PBS_RIF_DDmtb:15%	-0.1523	0.999997308837724	1284.15	1692	635	1342	1167	1768	2.74	3.28
atsD	Rv0663	arylsulfatase AtsD	hypoxia_rar:7%	-0.0842	0.999554039332445	1245.09	1208	1254	1290	1305	1171	123.36	131.89
pheS	Rv1649	phenylalanine--tRNA ligase subunit alpha	hypoxia_late:10%	-0.0792	0.998265993511319	1275.19	1137	1586	1227	1306	1145	152.62	162.65
cstA	Rv3063	carbon starvation protein A	hypoxia_late:17%; ctl_stationary:11%	-0.0796	0.998071490491463	1278.59	1104	1563	1204	1296	1248	31.54	33.7
pknL	Rv2176	serine/threonine-protein kinase PknL	acidic_tyloxopol:11%	-0.0933	0.999813926684151	1263.07	1290	1425	1186	1184	1238	36.75	39.67
cyp123	Rv0766c	cytochrome P450 Cyp123	butyrate:17%; hypoxia_fatty_acids:16%; ctl_stationary:11%; hypoxia_late:10%	-0.0971	0.999911988300884	1237.23	1250	1032	1313	1258	1346	20.97	22.72
PPE39	Rv2353c	PPE family protein PPE39	human_sputum:45%; hypoxia_late:23%; ctl_stationary:10%	-0.1058	0.999949040187301	1238.09	1271	921	1381	1221	1431	7.87	8.64
qcrB	Rv2196	ubiquinol-cytochrome C reductase cytochrome subunit B	INDIGO_exponential:11%; tyloxopol:11%; microaerophilic:10%	-0.0804	0.998112289276089	1276.96	1132	1554	1268	1340	1115	1328.35	1415.57
Rv3848	Rv3848	transmembrane protein	ctl_stationary:13%; PBS_RIF_DDmtb:13%; hypoxia_fatty_acids:11%	-0.0875	0.999624324782752	1250.82	1200	1295	1254	1248	1258	53.7	57.58
Rv0193c	Rv0193c	hypothetical protein	hypoxia_late:19%; PBS_RIF_DDmtb:12%; ctl_stationary:11%; human_sputum:11%	-0.0809	0.998418420438802	1272.08	1111	1505	1192	1287	1282	23	24.6
Rv3378c	Rv3378c	diterpene synthase	hypoxia_late:19%	-0.0965	0.99990591415181	1220.66	1259	1041	1261	1233	1319	28.26	30.57
rnhB	Rv2902c	ribonuclease HII	high_iron:9%	-0.1078	0.999847672862146	1291.99	1540	1370	1235	1175	1159	1107.51	1203.95
Rv2850c	Rv2850c	magnesium chelatase	microaerophilic:16%; hypoxia_late:12%	-0.0898	0.999466005206411	1272.23	1244	1495	1269	1242	1125	208.7	223.92
Rv0487	Rv0487	hypothetical protein	hypoxia_late:10%	-0.0879	0.999446776078582	1267.82	1263	1478	1260	1202	1148	203.5	218.02
menE	Rv0542c	2-succinylbenzoic acid--CoA ligase	high_iron:11%	-0.1012	0.999794900377669	1280.17	1326	1339	1281	1238	1219	311.78	337.51
Rv2508c	Rv2508c	integral membrane protein	human_sputum:12%	-0.0853	0.999012705312579	1272.6	1131	1501	1234	1249	1262	57.55	61.73
ribA1	Rv1940	riboflavin biosynthesis protein RibA	hypoxia_late:24%	-0.1045	0.999867592503821	1270.42	1367	1380	1226	1182	1204	45.95	49.92
Rv2614A	Rv2614A	hypothetical protein	butyrate_plus_glucose:12%; hypoxia_late:11%	-0.0954	0.999797101825732	1249.39	1210	1289	1139	1226	1390	78.15	84.41
mrp	Rv1229c	multiple resistance/pH adaptation protein	butyrate_plus_glucose:8%	-0.0786	0.996826064298815	1271.69	1112	1647	1221	1354	1065	372.82	396.9
iniB	Rv0341	isoniazid inducible protein IniB	hypoxia_rar:23%; acidic:22%; hypoxia_hypoxic:12%; acidic_tyloxopol:11%	-0.1231	0.99994182976285	1286.74	1485	1140	1401	1068	1365	501.71	550.43
Rv0433	Rv0433	carboxylate-amine ligase	INDIGO_exponential:10%	-0.077	0.997268181706644	1244.15	1108	1480	1202	1362	1091	243.36	258.83
MT2138.2	MT2138.2	hypothetical protein	hypoxia_late:19%; PBS_RIF_DDmtb:11%; ctl_stationary:10%	-0.0903	0.999585562360171	1249.04	1126	1229	1189	1216	1501	34.42	37.06
Rv2707	Rv2707	hypothetical protein	PBS_RIF_DDmtb:12%	-0.0922	0.999779880511203	1220.8	1170	938	1374	1336	1314	261.89	281.79
Rv1119c	Rv1119c	hypothetical protein	hypoxia_late:11%	-0.0952	0.999742627546959	1251.8	1149	1234	1084	1316	1496	66.08	71.39
lprH	Rv1418	lipoprotein LprH	INDIGO_exponential:9%	-0.0821	0.998210260019684	1260.28	1117	1522	1211	1289	1181	177.08	189.13
mbtH	Rv2377c	hypothetical protein	low_iron:24%; human_sputum:20%	-0.1042	0.999833534146916	1265.53	1233	1146	1285	1277	1393	70.29	76.44
aao	Rv1905c	D-amino acid oxidase	acidic_tyloxopol:13%; PBS_RIF_DDmtb:12%	-0.0885	0.999214417673949	1263.76	1186	1484	1253	1243	1165	216.14	231.92
Rv0047c	Rv0047c	hypothetical protein	hypoxia_hypoxic:15%; hypoxia_fatty_acids:11%	-0.0852	0.99863268643798	1264.96	1125	1527	1230	1237	1223	181.06	193.88
rhlE	Rv3211	ATP-dependent RNA helicase RhlE	hypoxia_hypoxic:10%	-0.0929	0.999436523511209	1263.73	1270	1458	1293	1183	1127	925.89	995.13
Rv2081c	Rv2081c	transmembrane protein	acidic_tyloxopol:11%	-0.084	0.998173957497523	1257.29	1114	1525	1232	1278	1157	303.18	324.13
PE15	Rv1386	PE family protein PE15	ctl_exponential:16%; acidic:12%; INDIGO_exponential:12%	-0.0877	0.999215829414684	1242.69	1194	1426	1242	1252	1110	1307.84	1401.56
mbtA	Rv2384	bifunctional salicyl-AMP ligase/salicyl-S-ArCP synthetase	hypoxia_late:39%; low_iron:19%	-0.1093	0.99987970294548	1251.79	1374	1149	1393	1062	1298	6.33	7.01
plsB1	Rv1551	acyltransferase PlsB	hypoxia_late:28%; ctl_stationary:12%; human_sputum:10%	-0.1153	0.99988865271277	1268.48	1495	1294	1243	1106	1220	14.43	15.89
Rv0397	Rv0397	hypothetical protein	hypoxia_late:36%	-0.104	0.999826037264461	1240.49	1282	1341	1169	1166	1249	60.63	65.9
Rv3235	Rv3235	hypothetical protein	hypoxia_late:15%	-0.0906	0.999347455803602	1238.58	1193	1457	1175	1191	1188	121.92	131.1
idsB	Rv3383c	polyprenyl synthetase IdsB	hypoxia_late:13%	-0.1065	0.999764208242256	1266.5	1313	1103	1346	1279	1299	134.39	146.15
Rv0922	Rv0922	transposase	zinc_limitation:19%	-0.0788	0.995939701973885	1243.22	1109	1621	1184	1324	1020	507.89	540.73
MT3767.3	MT3767.3	hypothetical protein	hypoxia_late:23%; PBS_RIF_DDmtb:16%; ctl_stationary:14%; human_sputum:13%	-0.1099	0.999921886727185	1218.75	1181	328	438	3514	1753	3.82	5.11
MT0740.1	MT0740.1	hypothetical protein	hypoxia_late:15%; ctl_stationary:15%; ctl_exponential:10%	-0.0995	0.999726561677674	1232.03	1179	1240	1063	1271	1421	69.27	74.92
blaR	Rv1845c	sensor-transducer protein BlaR	hypoxia_fatty_acids:8%	-0.0796	0.996736779322526	1230.26	1094	1464	1209	1333	1073	378.67	403.4
Rv0926c	Rv0926c	hypothetical protein	hypoxia_late:12%	-0.0983	0.999789705027514	1208.15	1139	803	1404	1341	1415	43.48	47.11
icd2	Rv0066c	isocitrate dehydrogenase	human_sputum:9%	-0.0987	0.999829026968632	1199.94	1264	1081	1279	1201	1180	111.67	120.67
MT1936	MT1936	hypothetical protein	butyrate_plus_glucose:9%	-0.092	0.999306424949983	1233.75	1177	1375	1239	1199	1184	140.22	150.95
Rv2735c	Rv2735c	hypothetical protein	PBS_RIF_DDmtb:15%; hypoxia_late:13%; zinc_limitation:13%	-0.1055	0.999859614744433	1211.11	1219	968	1330	1254	1303	62.04	67.53
glyU	Rvnt04	tRNA-Gly	hypoxia_late:32%; hypoxia_hypoxic:28%	-0.1379	0.999991081157225	1200.25	1452	584	1323	1275	1511	26.44	30.02
Rv0457c	Rv0457c	peptidase	hypoxia_late:18%; human_sputum:11%; ctl_stationary:10%	-0.1015	0.999771184803297	1220.07	1135	812	1456	1347	1414	24.89	27.08
atpG	Rv1309	ATP synthase subunit gamma	ctl_exponential:12%; INDIGO_exponential:12%; tyloxopol:11%	-0.0895	0.999331389522293	1211.45	1222	1358	1206	1227	1054	983	1054.25
fxsA	Rv2053c	transmembrane protein FxsA	hypoxia_fatty_acids:18%	-0.0987	0.999592370920065	1231.79	1321	1360	1263	1128	1098	333.93	360.4
pks6	Rv0405	membrane bound polyketide synthase	hypoxia_late:23%; ctl_stationary:11%	-0.081	0.996593780966728	1220.61	1063	1409	1236	1311	1101	104.13	111.11
mmpL9	Rv2339	transmembrane transport protein MmpL9	human_sputum:9%	-0.0922	0.999179600474084	1222.2	1212	1477	1199	1193	1049	86.32	92.86
ufaA1	Rv0447c	cyclopropane-fatty-acyl-phospholipid synthase UfaA	PBS_RIF_DDmtb:25%; hypoxia_late:13%	-0.1081	0.999819899931587	1225.15	1305	1301	1185	1147	1192	50	54.55
Rv0857	Rv0857	hypothetical protein	human_sputum:12%	-0.0915	0.999155261188681	1220.35	1191	1410	1207	1173	1130	173.84	186.84
msrA	Rv0137c	peptide methionine sulfoxide reductase MsrA	hypoxia_fatty_acids:9%	-0.0984	0.99975925860366	1202.16	1304	1252	1166	1142	1151	105.53	114.14
eccC5	Rv1783	ESX-5 type VII secretion system protein EccC5	acidic:9%	-0.0911	0.999565387375698	1193.61	1198	1150	1248	1234	1140	350.3	376.27
MT3483	MT3483	hypothetical protein	PBS_RIF_DDmtb:13%; hypoxia_late:13%	-0.1187	0.999935007097808	1210.92	1397	1022	1159	1045	1465	39.19	43.1
upp	Rv3309c	uracil phosphoribosyltransferase	PBS_RIF_DDmtb:10%	-0.0869	0.997827611599928	1233.69	1055	1454	1137	1262	1279	69.45	74.51
Rv3437	Rv3437	transmembrane protein	hypoxia_fatty_acids:8%	-0.0977	0.999525123968806	1219.43	1155	1258	1220	1195	1271	61.63	66.67
Rv0831c	Rv0831c	hypothetical protein	tyloxopol:13%; ctl_exponential:10%	-0.1007	0.999745021586835	1207.39	1274	1196	1282	1172	1117	389	420.63
MT3573.16	MT3573.16	hypothetical protein	hypoxia_late:49%	-0.148	0.999984581680006	1251.11	1610	903	936	1250	1659	8.63	9.95
MT0639	MT0639	hypothetical protein	hypoxia_late:10%	-0.1027	0.999692838759205	1218.42	1156	1151	1135	1230	1432	51.82	56.52
MT1650.1	MT1650.1	hypothetical protein	acidic_tyloxopol:11%; butyrate_plus_glucose:11%	-0.104	0.999783311077697	1205.17	1231	1144	1210	1170	1273	77.15	83.76
MT2113	MT2113	hypothetical protein	hypoxia_fatty_acids:17%	-0.0995	0.999526561117386	1218.08	1302	1355	1250	1111	1084	320.13	345.74
adhC	Rv3045	NADP-dependent alcohol dehydrogenase	human_sputum:8%	-0.0886	0.999018182716586	1198.45	1159	1319	1231	1229	1062	321.25	344.48
MT3210	MT3210	hypothetical protein	hypoxia_late:17%; ctl_stationary:10%; hypoxia_hypoxic:10%	-0.159	0.999980421018521	1289.49	1708	1078	1029	1157	1544	11.07	12.9
eccE1	Rv3882c	ESX-1 secretion system protein EccE1	high_iron:9%	-0.0895	0.998758000129862	1202.79	1169	1441	1180	1215	1027	276.09	296.24
Rv1540	Rv1540	RNA pseudouridine synthase	microaerophilic:13%	-0.0957	0.999715936825534	1175.18	1216	1057	1252	1209	1147	389.82	420.02
Rv1906c	Rv1906c	hypothetical protein	human_sputum:9%	-0.0859	0.997943918886635	1201.02	1122	1431	1190	1232	1047	457.86	490.11
cyp139	Rv1666c	cytochrome P450 Cyp139	hypoxia_late:12%	-0.0842	0.996855163503401	1207.44	1060	1427	1161	1231	1173	61.92	66.27
Rv1865c	Rv1865c	short-chain type dehydrogenase	hypoxia_late:17%; ctl_stationary:12%	-0.1012	0.999467977177056	1217.23	1201	1281	1249	1127	1231	33.54	36.36
Rv1526c	Rv1526c	glycosyltransferase	hypoxia_late:21%; human_sputum:13%	-0.1118	0.999802363214459	1215.06	1360	1273	1171	1125	1154	39.22	42.88
Rv2258c	Rv2258c	transcriptional regulator	zinc_limitation:14%; high_iron:10%	-0.0853	0.995302729196205	1227.08	1032	1562	1223	1283	1070	331.01	354.14
Rv0051	Rv0051	transmembrane protein	microaerophilic:9%	-0.083	0.995373179617802	1207.76	1087	1528	1154	1257	1042	134.21	143.35
leuW	Rvnt19	tRNA-Leu	hypoxia_late:31%; ctl_stationary:11%	-0.1958	0.999994945822205	1301.55	1715	830	904	1465	1749	5.43	6.9
Rv0944	Rv0944	formamidopyrimidine-DNA glycosylase	hypoxia_late:39%; human_sputum:10%	-0.1197	0.999841790837299	1216.97	1258	1246	1143	1161	1280	21.7	23.94
phoR	Rv0758	two component system response sensor kinase PhoR	acidic_tyloxopol:8%	-0.084	0.996358011238476	1194.86	1093	1456	1170	1244	1033	140.07	149.74
Rv1583c	Rv1583c	phage protein	hypoxia_late:12%	-0.1034	0.999772118250431	1171.09	1256	1156	1117	1135	1194	87.32	94.92
gltS	Rv2992c	glutamate--tRNA ligase	high_iron:11%; tyloxopol:10%	-0.0832	0.995721048746482	1194.96	1044	1429	1182	1282	1059	169.72	181.38
fadB3	Rv1715	3-hydroxybutyryl-CoA dehydrogenase FadB	hypoxia_late:31%; PBS_RIF_DDmtb:10%	-0.1227	0.999848483674526	1220.18	1442	1216	1164	1102	1190	35.97	39.71
Rv3717	Rv3717	hypothetical protein	tyloxopol:16%	-0.0932	0.998963452476452	1186.25	1199	1419	1145	1187	1000	359.67	386.82
Rv3482c	Rv3482c	membrane protein	PBS_RIF_DDmtb:10%	-0.0853	0.995888011270757	1195.35	1065	1468	1136	1219	1109	144.15	154.23
Rv2646	Rv2646	integrase	hypoxia_late:18%	-0.1122	0.99977913219151	1194.57	1298	1158	1225	1088	1209	33.21	36.43
Rv0785	Rv0785	KsdD-like steroid dehydrogenase	hypoxia_late:15%	-0.0847	0.995956796408246	1188.79	1052	1436	1146	1198	1129	53.28	57.06
Rv0927c	Rv0927c	oxidoreductase	hypoxia_late:30%	-0.102	0.999780449242948	1155.32	1180	943	1219	1185	1264	40.49	43.93
nuoF	Rv3150	NADH-quinone oxidoreductase subunit F	high_iron:13%; butyrate_plus_glucose:11%; tyloxopol:10%; ctl_exponential:10%	-0.0987	0.999052745396771	1196.73	1202	1416	1183	1163	1035	516.76	557.9
Rv0200	Rv0200	transmembrane protein	high_iron:8%	-0.0859	0.996869269411227	1185.32	1075	1371	1187	1211	1094	224.26	239.96
Rv2360c	Rv2360c	hypothetical protein	INDIGO_exponential:8%	-0.0855	0.99662548683063	1184.78	1039	1363	1128	1228	1178	184.76	197.77
Rv2336	Rv2336	hypothetical protein	INDIGO_exponential:11%	-0.1005	0.999358617025028	1184.33	1209	1268	1205	1119	1124	89.65	97.06
PE_PGRS12	Rv0832	PE-PGRS family protein PE_PGRS12	hypoxia_late:20%	-0.1091	0.999628311719638	1188.53	1275	1230	1212	1108	1122	177.98	193.68
sdhD	Rv3317	succinate dehydrogenase hydrophobic membrane anchor subunit	hypoxia_late:12%	-0.1019	0.999476683594028	1175.39	1192	1242	1144	1114	1187	85.45	92.47
obg	Rv2440c	GTPase Obg	PBS_RIF_DDmtb:14%; acidic:10%	-0.0836	0.994543435932652	1183.85	1066	1470	1119	1286	1007	224.11	239.45
Rv3064c	Rv3064c	integral membrane protein	hypoxia_late:12%	-0.1245	0.999924681100556	1167.37	1286	923	1214	1126	1310	28.67	31.82
Rv3191c	Rv3191c	transposase	acidic:10%	-0.0942	0.999044793592718	1161.61	1145	1209	1196	1171	1089	159.25	171.57
Rv1835c	Rv1835c	serine esterase	PBS_RIF_DDmtb:11%	-0.0879	0.994285899873809	1197.65	1021	1543	1194	1213	1051	118.37	126.89
dapB	Rv2773c	4-hydroxy-tetrahydrodipicolinate reductase	tyloxopol:9%	-0.0924	0.998844996593849	1158.09	1134	1213	1167	1176	1102	157.79	169.66
MT3322	MT3322	hypothetical protein	high_iron:11%	-0.1005	0.998809830173598	1187.26	1141	1344	1193	1145	1120	497.24	538.03
ahpE	Rv2238c	peroxiredoxin	INDIGO_exponential:13%; high_iron:12%	-0.0988	0.998877208870156	1176.29	1163	1389	1157	1150	1036	477.95	516.2
Rv1616	Rv1616	hypothetical protein	tyloxopol:8%	-0.0976	0.998606804919291	1178.24	1162	1390	1165	1134	1053	294.3	317.37
Rv1950c	Rv1950c	hypothetical protein	hypoxia_late:10%	-0.1255	0.999830458746963	1193.75	1311	1039	1267	1065	1302	54.21	59.95
echA18	Rv3373	enoyl-CoA hydratase	hypoxia_late:16%	-0.0924	0.997144493528927	1179.13	1034	1385	1105	1189	1197	92.18	99.31
guaB3	Rv3410c	oxidoreductase	microaerophilic:14%; hypoxia_late:10%	-0.0934	0.997966631220732	1171.03	1136	1377	1188	1146	1022	148.71	160.01
modA	Rv1857	molybdate ABC transporter substrate-binding lipoprotein ModA	INDIGO_exponential:13%; low_iron:10%	-0.1178	0.999432244210265	1209.52	1227	1088	1262	1212	1263	252.19	276.62
sppA	Rv0724	protease IV SppA	cholesterol:11%; zinc_limitation:10%	-0.0814	0.993252818854953	1163.93	1072	1460	1094	1285	943	656.6	700.35
recF	Rv0003	DNA replication/repair protein RecF	hypoxia_late:13%; human_sputum:12%	-0.0914	0.996295457548455	1173.5	1061	1368	1197	1177	1077	143.76	154.49
MT0694	MT0694	hypothetical protein	human_sputum:16%; hypoxia_late:11%; ctl_stationary:10%	-0.1283	0.999928142694518	1153.31	1278	908	1061	1154	1397	32.77	36.5
sugA	Rv1236	sugar ABC transporter permease SugA	PBS_RIF_DDmtb:13%; hypoxia_late:12%	-0.0974	0.999133057697629	1138.53	1123	1115	1142	1164	1149	63	68.05
bpoB	Rv1123c	peroxidase BpoB	hypoxia_late:9%	-0.1038	0.998905122924365	1175.72	1148	1325	1179	1140	1093	140.05	151.9
dnaJ2	Rv2373c	chaperone protein DnaJ	microaerophilic:16%	-0.0872	0.993557365747038	1176.38	1040	1490	1163	1206	1012	463.66	496.52
Rv2952	Rv2952	phthiotriol/phenolphthiotriol dimycocerosates methyltransferase	tyloxopol:13%; ctl_exponential:10%	-0.0963	0.998321354116538	1160.68	1118	1300	1181	1148	1063	164.67	177.74
yajC	Rv2588c	membrane protein secretion factor YajC	zinc_limitation:9%	-0.0939	0.997139283831089	1164.78	1091	1376	1147	1151	1071	286.82	308.73
trpG	Rv0013	anthranilate synthase component II	INDIGO_exponential:8%	-0.088	0.993971508928156	1165.72	1017	1459	1127	1205	1046	237.99	255.15
MT0765	MT0765	hypothetical protein	acidic:16%	-0.1063	0.999323080825978	1159.8	1178	1218	1103	1093	1210	89.08	96.74
pmmA	Rv3257c	phosphomannomutase PmmA	ctl_exponential:9%	-0.0884	0.994298478944908	1162.89	1069	1471	1129	1196	978	373.44	400.26
MT2518.1	MT2518.1	hypothetical protein	human_sputum:12%; PBS_RIF_DDmtb:11%	-0.1293	0.999817194587259	1180.77	1293	928	1274	1105	1329	48.72	54.38
Rv2084	Rv2084	hypothetical protein	human_sputum:9%	-0.0947	0.996187769258455	1170.8	1082	1418	1178	1162	1032	164.5	177.11
fadE1	Rv0131c	acyl-CoA dehydrogenase FadE1	hypoxia_late:14%; ctl_stationary:10%	-0.1106	0.999416451876224	1162.51	1241	1084	1333	1034	1133	34	37.1
dppC	Rv3664c	dipeptide ABC transporter permease DppC	hypoxia_late:23%	-0.124	0.999764271809377	1170.73	1437	1208	1201	925	1112	22.17	24.48
pabB	Rv1005c	para-aminobenzoate synthase component I	hypoxia_late:17%	-0.1006	0.99862928489585	1154.73	1128	1346	1110	1112	1087	54.4	58.96
Rv3224B	Rv3224B	conserved hypothetical protein	high_iron:11%	-0.1021	0.998506321510899	1163.74	1119	1330	1155	1122	1100	493.22	534.34
MT1098	MT1098	hypothetical protein	hypoxia_late:42%; ctl_stationary:12%	-0.157	0.999982479439259	1165.69	1319	688	1177	1253	1479	23.84	27.36
MT2547.2	MT2547.2	hypothetical protein	acidic_tyloxopol:22%	-0.1297	0.999861693729602	1160.89	1287	765	1321	1120	1370	57.08	63.6
hisC1	Rv1600	histidinol-phosphate aminotransferase	microaerophilic:24%	-0.0981	0.99861977089625	1132.94	1092	1071	1222	1169	1114	177.62	191.69
narJ	Rv1163	nitrate reductase subunit delta	acidic_tyloxopol:11%; microaerophilic:10%	-0.0958	0.996306336375198	1164.07	1068	1398	1153	1165	1052	219.65	236.64
Rv1532c	Rv1532c	hypothetical protein	hypoxia_late:9%	-0.1116	0.999444842762838	1144.32	1113	1036	1168	1139	1272	42.16	46.16
Rv2826c	Rv2826c	hypothetical protein	microaerophilic:27%	-0.0967	0.997594421380251	1135.17	1051	1206	1158	1160	1104	84.36	91.02
Rv1230c	Rv1230c	membrane protein	butyrate_plus_glucose:9%	-0.1095	0.99932988628029	1143.42	1213	1238	1140	1089	1043	134.16	146.07
ilvE	Rv2210c	branched-chain amino acid aminotransferase	ctl_exponential:8%	-0.0873	0.992675824489976	1153.08	1030	1466	1106	1224	971	261.11	279.67
pafC	Rv2095c	proteasome accessory factor C	hypoxia_late:15%	-0.0933	0.99589073743619	1150.69	1062	1379	1148	1168	1013	150.57	162.01
Rv3662c	Rv3662c	hypothetical protein	butyrate:15%; low_iron:12%; cholesterol:12%; butyrate_plus_glucose:11%	-0.1432	0.999755824939769	1219.8	1157	764	1295	1397	1569	261.27	292.46
nudC	Rv3199c	NADH pyrophosphatase	hypoxia_late:9%	-0.0885	0.992941134488818	1154.91	1022	1475	1104	1194	1009	203.73	218.41
ask	Rv3709c	aspartokinase	microaerophilic:12%; zinc_limitation:10%	-0.0872	0.992290675088578	1145.34	1028	1440	1115	1203	969	400.13	428.48
uvrA	Rv1638	excinuclease ABC subunit UvrA	zinc_limitation:16%	-0.0854	0.991114015563345	1140.71	1036	1485	1089	1225	909	205.16	219.51
Rv1073	Rv1073	hypothetical protein	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	-0.1034	0.998759132584517	1126.98	1103	1056	1233	1155	1092	374.99	406.17
